method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,True,True,0.8326415419578552,16.783809661865234,0.13157781958580017,0.829361617565155
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,True,True,0.8277793526649475,16.81111717224121,0.13040219247341156,0.8399685025215149
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764181911945343,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,False,True,0.8320919275283813,16.77686882019043,0.132842555642128,0.8409723043441772
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,True,True,0.8277793526649475,16.81111717224121,0.13040219247341156,0.8399685025215149
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,True,True,0.8320919275283813,16.77686882019043,0.132842555642128,0.8409723043441772
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,True,True,0.8277793526649475,16.81111717224121,0.13040220737457275,0.8399685621261597
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.057641807943582535,0.9154563546180725
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,False,True,0.4899243116378784,20.929433822631836,0.179866760969162,0.7553141713142395
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,True,True,0.4179041087627411,21.586822509765625,0.14882169663906097,0.7791479229927063
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,True,True,0.448380708694458,21.70394515991211,0.11181184649467468,0.777288556098938
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,True,True,0.3782910704612732,22.218120574951172,0.10380592942237854,0.8096540570259094
