step,method,source_index,image_id,snr_db,noise_count,mse,lpips_alex,normalized_latent,utility,U_image
12500,P4084,19,n01592084/ILSVRC2012_val_00019788_n01592084,1,3,0.0044276526508231955,0.14992881814638773,0.5786579052607218,0.025207113474607468,0.019420534372329712
12500,P4084,19,n01592084/ILSVRC2012_val_00019788_n01592084,4,3,0.0030897659404824176,0.11247535546620686,0.39298003911972046,0.018267102539539337,0.014337302185595036
12500,P4084,19,n01592084/ILSVRC2012_val_00019788_n01592084,7,3,0.002409071894362569,0.08995198706785838,0.28250259160995483,0.01422929639617602,0.01140427061667045
12500,P4084,19,n01592084/ILSVRC2012_val_00019788_n01592084,13,3,0.0018714800632248323,0.07005326946576436,0.17589199542999268,0.01063572708517313,0.008876807056367397
12500,P4084,19,n01592084/ILSVRC2012_val_00019788_n01592084,19,3,0.0017428259598091245,0.06706058979034424,0.14470959703127542,0.009895980979005495,0.008448884822428226
12500,P4084,20,n01601694/ILSVRC2012_val_00020730_n01601694,1,3,0.007610140057901542,0.11281715085109074,0.42341987291971844,0.02312605455517769,0.01889185607433319
12500,P4084,20,n01601694/ILSVRC2012_val_00020730_n01601694,4,3,0.005784835045536359,0.07916964093844096,0.25212329129378,0.01622303140660127,0.013701798704763254
12500,P4084,20,n01601694/ILSVRC2012_val_00020730_n01601694,7,3,0.004869675263762474,0.06378007183472316,0.16206206878026327,0.012868303805589676,0.011247683006028334
12500,P4084,20,n01601694/ILSVRC2012_val_00020730_n01601694,13,3,0.004119079715261857,0.051144508024056755,0.0837206890185674,0.010070737761755785,0.009233530921240648
12500,P4084,20,n01601694/ILSVRC2012_val_00020730_n01601694,19,3,0.003918026884396871,0.04801625510056814,0.05935800323883692,0.009313232886294523,0.008719652580718199
12500,P4084,21,n01608432/ILSVRC2012_val_00018796_n01608432,1,3,0.002158968010917306,0.04892736300826073,0.34910382827123004,0.010542742597560087,0.007051704451441765
12500,P4084,21,n01608432/ILSVRC2012_val_00018796_n01608432,4,3,0.001556397454502682,0.031526412814855576,0.18567929168542227,0.0065658316016197205,0.004709038728227218
12500,P4084,21,n01608432/ILSVRC2012_val_00018796_n01608432,7,3,0.0013299180039515097,0.023644272858897846,0.1039455458521843,0.004733800732841094,0.0036943453984955945
12500,P4084,21,n01608432/ILSVRC2012_val_00018796_n01608432,13,3,0.0012230612337589264,0.019287682448824246,0.04297296951214472,0.0035815592079112926,0.0031518295096854367
12500,P4084,21,n01608432/ILSVRC2012_val_00018796_n01608432,19,3,0.0011942869362731774,0.018900463978449505,0.02925698459148407,0.0033769032452255487,0.0030843334582944712
12500,P4084,22,n01614925/ILSVRC2012_val_00044921_n01614925,1,3,0.0013598285149782896,0.05419405922293663,0.3629174033800761,0.010408408318956694,0.006779234390705824
12500,P4084,22,n01614925/ILSVRC2012_val_00044921_n01614925,4,3,0.0009940368472598493,0.03399890412886938,0.196502556403478,0.006358953037609656,0.004393927287310362
12500,P4084,22,n01614925/ILSVRC2012_val_00044921_n01614925,7,3,0.00084271664187933,0.02637621760368347,0.112873541812102,0.004609073822697003,0.0034803384138892093
12500,P4084,22,n01614925/ILSVRC2012_val_00044921_n01614925,13,3,0.0007247090300855538,0.020292353505889576,0.04973538716634115,0.003251298408334454,0.0027539446018636227
12500,P4084,22,n01614925/ILSVRC2012_val_00044921_n01614925,19,3,0.0006791163274707893,0.01950720821817716,0.03484088554978371,0.0029782461933791637,0.002629837254062295
12500,P4084,23,n01616318/ILSVRC2012_val_00006250_n01616318,1,3,0.009923182427883148,0.15769778192043304,0.4323182503382365,0.03001614287495613,0.02569296086827914
12500,P4084,23,n01616318/ILSVRC2012_val_00006250_n01616318,4,3,0.008229519550999006,0.1200924242536227,0.26057541370391846,0.02284451574087143,0.020238761479655903
12500,P4084,23,n01616318/ILSVRC2012_val_00006250_n01616318,7,3,0.007370401949932178,0.09986525028944016,0.1700150469938914,0.019057077666123707,0.017356927196184795
12500,P4084,23,n01616318/ILSVRC2012_val_00006250_n01616318,13,3,0.006646427636345227,0.08278890202442805,0.09077829619248708,0.015833100924889248,0.014925317838788033
12500,P4084,23,n01616318/ILSVRC2012_val_00006250_n01616318,19,3,0.006457805633544922,0.07852608958880107,0.06656977782646815,0.01497611217200756,0.014310414592425028
12500,P4084,24,n01622779/ILSVRC2012_val_00016292_n01622779,1,3,0.016986297443509102,0.1671605259180069,0.9142453273137411,0.042844802141189575,0.03370234866937002
12500,P4084,24,n01622779/ILSVRC2012_val_00016292_n01622779,4,3,0.013118232289950052,0.13092495004336038,0.6869348287582397,0.03308007617791494,0.02621072841187318
12500,P4084,24,n01622779/ILSVRC2012_val_00016292_n01622779,7,3,0.011032161923746267,0.1092682679494222,0.5303407708803812,0.02726239711046219,0.021958989401658375
