region,arm,reference,PSNR_minus_reference,LPIPS_minus_reference,DINO_minus_reference,mean_PSNR_LPIPS_covered,mean_three_metrics_covered,reference_is_expectation_not_deployment
primary,lpips_0p1__conditioned,expected_mix_01,0.2092536782105886,0.03388767579918508,-0.09238426952788012,False,False,True
primary,lpips_0p1__conditioned,expected_mix_03,-0.4021329410673193,0.030939132968198554,-0.04787855307025004,True,True,True
primary,lpips_0p1__conditioned,expected_mix_05,0.24981156723187137,0.034083274899889805,-0.09533666961644123,False,False,True
primary,lpips_0p1__conditioned,expected_mix_07,-0.2873471288556341,0.031492712116030525,-0.05623435388526576,True,True,True
primary,lpips_0p1__conditioned,expected_mix_11,-0.0030872482480263307,0.03286361623246762,-0.0769269716948343,True,True,True
primary,lpips_0p1__conditioned,expected_mix_12,-0.6244195455059508,0.029867108240676774,-0.03169726241465903,True,True,True
mechanism,lpips_0p01__unconditioned,raw_adaptive,0.4973601743910048,0.05246008227061894,-0.10618339631292555,False,False,False
mechanism,lpips_0p01__unconditioned,arithmetic_adaptive,0.4792212263743083,0.05291257344807187,-0.10684260931279922,False,False,False
mechanism,lpips_0p01__unconditioned,perceptual_deepjscc,-4.518940161599054,0.043693913598027496,0.09253635320398543,True,False,False
mechanism,lpips_0p01__unconditioned,expected_mix_01,0.3230654294852087,0.0526245581033499,-0.10061348256838362,False,False,True
mechanism,lpips_0p01__unconditioned,expected_mix_03,-0.3258414596288786,0.05142770761759183,-0.07472828753789236,True,True,True
mechanism,lpips_0p01__unconditioned,expected_mix_05,0.36611232119657566,0.05270395422954215,-0.10233064292851844,False,False,True
mechanism,lpips_0p01__unconditioned,expected_mix_07,-0.20401134106218283,0.051652412331060917,-0.07958814714578188,True,True,True
mechanism,lpips_0p01__unconditioned,expected_mix_11,0.09769332339855186,0.05220887949187085,-0.09162328533307576,False,False,True
mechanism,lpips_0p01__unconditioned,expected_mix_12,-0.561769601380439,0.05099255934625066,-0.06531700517231599,True,True,True
mechanism,lpips_0p01__conditioned,raw_adaptive,0.8611415523952908,0.05778479838743806,-0.11063259767161478,False,False,False
mechanism,lpips_0p01__conditioned,arithmetic_adaptive,0.8430026043785943,0.058237289564890986,-0.11129181067148844,False,False,False
mechanism,lpips_0p01__conditioned,perceptual_deepjscc,-4.155158783594767,0.04901862971484662,0.08808715184529621,True,False,False
mechanism,lpips_0p01__conditioned,expected_mix_01,0.6868468074894946,0.05794927422016901,-0.10506268392707285,False,False,True
mechanism,lpips_0p01__conditioned,expected_mix_03,0.037939918375407514,0.05675242373441094,-0.07917748889658156,False,False,True
mechanism,lpips_0p01__conditioned,expected_mix_05,0.7298936992008619,0.05802867034636128,-0.10677984428720762,False,False,True
mechanism,lpips_0p01__conditioned,expected_mix_07,0.15977003694210323,0.05697712844788005,-0.08403734850447109,False,False,True
mechanism,lpips_0p01__conditioned,expected_mix_11,0.4614747014028379,0.05753359560868996,-0.09607248669176496,False,False,True
mechanism,lpips_0p01__conditioned,expected_mix_12,-0.1979882233761529,0.05631727546306979,-0.06976620653100521,True,True,True
mechanism,lpips_0p03__unconditioned,raw_adaptive,0.4379655869801839,0.047352497962613906,-0.10444135950671303,False,False,False
mechanism,lpips_0p03__unconditioned,arithmetic_adaptive,0.41982663896348726,0.04780498914006683,-0.10510057250658672,False,False,False
mechanism,lpips_0p03__unconditioned,perceptual_deepjscc,-4.578334749009874,0.03858632929002246,0.09427839001019796,True,False,False
mechanism,lpips_0p03__unconditioned,expected_mix_01,0.26367084207438785,0.04751697379534485,-0.09887144576217109,False,False,True
mechanism,lpips_0p03__unconditioned,expected_mix_03,-0.3852360470396995,0.04632012330958678,-0.07298625073167984,True,True,True
mechanism,lpips_0p03__unconditioned,expected_mix_05,0.3067177337857548,0.04759636992153711,-0.10058860612230591,False,False,True
mechanism,lpips_0p03__unconditioned,expected_mix_07,-0.26340592847300376,0.04654482802305587,-0.07784611033956935,True,True,True
mechanism,lpips_0p03__unconditioned,expected_mix_11,0.03829873598773096,0.04710129518386581,-0.08988124852686326,False,False,True
mechanism,lpips_0p03__unconditioned,expected_mix_12,-0.6211641887912599,0.045884975038245616,-0.06357496836610346,True,True,True
mechanism,lpips_0p03__conditioned,raw_adaptive,0.7255226696862116,0.04503254144969914,-0.10036779463291166,False,False,False
mechanism,lpips_0p03__conditioned,arithmetic_adaptive,0.7073837216695148,0.04548503262715207,-0.1010270076327854,False,False,False
mechanism,lpips_0p03__conditioned,perceptual_deepjscc,-4.290777666303846,0.03626637277710769,0.09835195488399932,True,False,False
mechanism,lpips_0p03__conditioned,expected_mix_01,0.5512279247804155,0.045197017282430085,-0.09479788088836978,False,False,True
mechanism,lpips_0p03__conditioned,expected_mix_03,-0.09767896433367192,0.044000166796672,-0.06891268585787849,True,True,True
mechanism,lpips_0p03__conditioned,expected_mix_05,0.5942748164917824,0.045276413408622346,-0.09651504124850456,False,False,True
mechanism,lpips_0p03__conditioned,expected_mix_07,0.024151154233023817,0.04422487151014112,-0.07377254546576802,False,False,True
mechanism,lpips_0p03__conditioned,expected_mix_11,0.32585581869375857,0.04478133867095104,-0.08580768365306188,False,False,True
mechanism,lpips_0p03__conditioned,expected_mix_12,-0.33360710608523236,0.043565018525330845,-0.059501403492302124,True,True,True
mechanism,lpips_0p1__unconditioned,raw_adaptive,0.21424054781595855,0.04334114821006854,-0.10322586894035339,False,False,False
mechanism,lpips_0p1__unconditioned,arithmetic_adaptive,0.19610159979926206,0.043793639387521476,-0.1038850819402271,False,False,False
mechanism,lpips_0p1__unconditioned,perceptual_deepjscc,-4.802059788174099,0.034574979537477096,0.09549388057655761,True,False,False
mechanism,lpips_0p1__unconditioned,expected_mix_01,0.03994580291016254,0.0435056240427995,-0.09765595519581147,False,False,True
mechanism,lpips_0p1__unconditioned,expected_mix_03,-0.6089610862039246,0.04230877355704142,-0.0717707601653202,True,True,True
mechanism,lpips_0p1__unconditioned,expected_mix_05,0.08299269462152946,0.04358502016899175,-0.09937311555594626,False,False,True
mechanism,lpips_0p1__unconditioned,expected_mix_07,-0.487130967637229,0.04253347827051053,-0.07663061977320973,True,True,True
mechanism,lpips_0p1__unconditioned,expected_mix_11,-0.18542630317649433,0.043089945431320456,-0.08866575796050365,True,True,True
mechanism,lpips_0p1__unconditioned,expected_mix_12,-0.8448892279554852,0.041873625285700246,-0.06235947779974383,True,True,True
mechanism,lpips_0p1__conditioned,raw_adaptive,0.38463242636786554,0.038535175414548976,-0.10013276007440355,False,False,False
mechanism,lpips_0p1__conditioned,arithmetic_adaptive,0.36649347835116897,0.03898766659200192,-0.10079197307427722,False,False,False
mechanism,lpips_0p1__conditioned,perceptual_deepjscc,-4.631667909622192,0.02976900674195753,0.09858698944250743,True,False,False
mechanism,lpips_0p1__conditioned,expected_mix_01,0.21033768146206952,0.038699651247279934,-0.09456284632986163,False,False,True
mechanism,lpips_0p1__conditioned,expected_mix_03,-0.4385692076520178,0.03750280076152185,-0.06867765129937035,True,True,True
mechanism,lpips_0p1__conditioned,expected_mix_05,0.25338457317343643,0.038779047373472195,-0.09628000668999642,False,False,True
mechanism,lpips_0p1__conditioned,expected_mix_07,-0.31673908908532206,0.03772750547499096,-0.07353751090725988,True,True,True
mechanism,lpips_0p1__conditioned,expected_mix_11,-0.015034424624587341,0.03828397263580088,-0.08557264909455377,True,True,True
mechanism,lpips_0p1__conditioned,expected_mix_12,-0.6744973494035782,0.037067652490180694,-0.05926636893379399,True,True,True
