region,arm,control,metric,difference,ci_low,ci_high,source_images,involves_expected_reference
snr_13,lpips_0p1__conditioned,perceptual_deepjscc,psnr_db,-4.7835143947601315,-4.963898747205735,-4.601335803190867,100,False
snr_13,lpips_0p1__conditioned,perceptual_deepjscc,lpips,0.03435112602387865,0.026398647929231328,0.042028319960460074,100,False
snr_13,lpips_0p1__conditioned,perceptual_deepjscc,dino,0.07791930660605431,0.05430066660294929,0.10242439972485103,100,False
snr_13,lpips_0p1__conditioned,perceptual_deepjscc,mse,0.005654142515578525,0.004966632415202507,0.006398934683400512,100,False
snr_13,lpips_0p1__conditioned,raw_adaptive,psnr_db,0.4400300248463948,0.3147854402065277,0.5703802134195959,100,False
snr_13,lpips_0p1__conditioned,raw_adaptive,lpips,0.03710332611575722,0.033588773618141804,0.04070240278821439,100,False
snr_13,lpips_0p1__conditioned,raw_adaptive,dino,-0.10078617393970489,-0.11295210873087248,-0.08897578239440919,100,False
snr_13,lpips_0p1__conditioned,raw_adaptive,mse,-0.0010202123580252812,-0.0013151681487958478,-0.0007498008568397512,100,False
snr_13,lpips_0p1__conditioned,raw_m7,psnr_db,3.582058566411336,3.3289175736109415,3.831444089651107,100,False
snr_13,lpips_0p1__conditioned,raw_m7,lpips,-0.060805398840457194,-0.06482580911104259,-0.05667603798955679,100,False
snr_13,lpips_0p1__conditioned,raw_m7,dino,-0.026829069256782533,-0.03713344152271747,-0.016904857714970915,100,False
snr_13,lpips_0p1__conditioned,raw_m7,mse,-0.010397548161572895,-0.01169542417134341,-0.009188611238754342,100,False
snr_13,lpips_0p1__conditioned,raw_m8,psnr_db,1.9921342595418299,1.8329758037726085,2.154047840118408,100,False
snr_13,lpips_0p1__conditioned,raw_m8,lpips,-0.004142381474375725,-0.007134096115517119,-0.00117426230137547,100,False
snr_13,lpips_0p1__conditioned,raw_m8,dino,-0.06665706396102905,-0.07857105228304863,-0.05465225642919539,100,False
snr_13,lpips_0p1__conditioned,raw_m8,mse,-0.004872419764629499,-0.005566443150174978,-0.004242140627744334,100,False
snr_13,lpips_0p1__conditioned,raw_m9,psnr_db,0.4400300248463948,0.3147854402065277,0.5703802134195959,100,False
snr_13,lpips_0p1__conditioned,raw_m9,lpips,0.03710332611575722,0.033588773618141804,0.04070240278821439,100,False
snr_13,lpips_0p1__conditioned,raw_m9,dino,-0.10078617393970489,-0.11295210873087248,-0.08897578239440919,100,False
snr_13,lpips_0p1__conditioned,raw_m9,mse,-0.0010202123580252812,-0.0013151681487958478,-0.0007498008568397512,100,False
snr_13,lpips_0p1__unconditioned,arithmetic_adaptive,psnr_db,0.2794136301676431,0.15507815090815225,0.40995605476697283,100,False
snr_13,lpips_0p1__unconditioned,arithmetic_adaptive,lpips,0.04171830675254265,0.037963149290842324,0.04560828665209313,100,False
snr_13,lpips_0p1__unconditioned,arithmetic_adaptive,dino,-0.1042301110426585,-0.11633663211762904,-0.09236367918550968,100,False
snr_13,lpips_0p1__unconditioned,arithmetic_adaptive,mse,-0.0006173925092506594,-0.000864967268004055,-0.00038907142617613415,100,False
snr_13,lpips_0p1__unconditioned,expected_mix_12,psnr_db,-0.808518792795741,-0.9232005201940836,-0.690175311399145,100,True
snr_13,lpips_0p1__unconditioned,expected_mix_12,lpips,0.04114509295862932,0.03690693203390937,0.0455088339678649,100,True
snr_13,lpips_0p1__unconditioned,expected_mix_12,dino,-0.06701027125011615,-0.07923290519232645,-0.05461358707478154,100,True
snr_13,lpips_0p1__unconditioned,expected_mix_12,mse,0.0007727071024425483,0.0005775188263259132,0.0009728963411127607,100,True
snr_13,lpips_0p1__unconditioned,perceptual_deepjscc,psnr_db,-4.9441307894388835,-5.138552147865295,-4.746449182589849,100,False
snr_13,lpips_0p1__unconditioned,perceptual_deepjscc,lpips,0.038966106660664086,0.030482585115979118,0.047200865372704966,100,False
snr_13,lpips_0p1__unconditioned,perceptual_deepjscc,dino,0.07447536950310071,0.05005095012610154,0.10017070654531318,100,False
snr_13,lpips_0p1__unconditioned,perceptual_deepjscc,mse,0.006056962364353147,0.005298746952569014,0.0068775390647925275,100,False
snr_13,lpips_0p1__unconditioned,raw_adaptive,psnr_db,0.2794136301676431,0.15507815090815225,0.40995605476697283,100,False
snr_13,lpips_0p1__unconditioned,raw_adaptive,lpips,0.04171830675254265,0.037963149290842324,0.04560828665209313,100,False
snr_13,lpips_0p1__unconditioned,raw_adaptive,dino,-0.1042301110426585,-0.11633663211762904,-0.09236367918550968,100,False
snr_13,lpips_0p1__unconditioned,raw_adaptive,mse,-0.0006173925092506594,-0.000864967268004055,-0.00038907142617613415,100,False
snr_13,lpips_0p1__unconditioned,raw_m7,psnr_db,3.421442171732585,3.177827574412027,3.661558110634486,100,False
snr_13,lpips_0p1__unconditioned,raw_m7,lpips,-0.05619041820367177,-0.05972196666399638,-0.052628076727812494,100,False
snr_13,lpips_0p1__unconditioned,raw_m7,dino,-0.030273006359736128,-0.04030674189825853,-0.02034960090617339,100,False
snr_13,lpips_0p1__unconditioned,raw_m7,mse,-0.009994728312798275,-0.011213711624848627,-0.008849637561299138,100,False
snr_13,lpips_0p1__unconditioned,raw_m8,psnr_db,1.8315178648630777,1.6831685931682583,1.9834401569366455,100,False
