arm,image_id,snr_db,seed,psnr_db,lpips,dino,mse,p_deep,digital,actual_deployment,complex_uses_each_selected_frame,energy_each_selected_frame
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,18.06290854033752,0.18032692572018236,0.9157841119369229,0.015784923993082702,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,18.063030820293754,0.18026516562715483,0.913425133367828,0.01578474977470804,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,22.15629515374921,0.21510997966767847,0.8083549865922813,0.006130511775957459,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,22.154448023240707,0.21540520743756422,0.8073137992268941,0.006131743571039733,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,22.154297199376558,0.2149287133756461,0.8071308588108264,0.006131844893352843,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,22.785914339868736,0.16471602843677444,0.8301480089116535,0.005299287216744133,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,22.7847345051448,0.16499987346676478,0.8292238244735975,0.005299996378283788,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,22.784061607841775,0.16436118118073392,0.8296833449848471,0.005300403605629619,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,23.164077193990433,0.15168826731077104,0.8386437531278815,0.004856524606369749,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,23.16298394444019,0.15199519532683473,0.836864569894954,0.004857133178023974,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2003,23.162018993498997,0.15142250105126567,0.8374041639077899,0.004857674419765775,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2001,23.175958968100502,0.15116637124710164,0.8439257904379068,0.004850217264664826,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2002,23.175235359178195,0.15132826360372514,0.8408589367329072,0.004850585795199546,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2003,23.174612815950713,0.15108466319337724,0.8407434268299867,0.004850904430063824,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2001,23.179872760968752,0.1509759410347379,0.8443187105147508,0.004848257696596957,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2002,23.179502524434596,0.15106572175552924,0.8421326294797187,0.004848440656466845,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2003,23.179230910379758,0.15096760020987224,0.8420400042378328,0.004848575197869278,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2001,21.794180935184677,0.28422258490515007,0.7884141542405338,0.006645356935329928,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2002,21.797657571250323,0.28314404120307785,0.7893612293917971,0.0066424144038339196,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2003,21.796932949287445,0.28408715869905066,0.7870910203651273,0.006643021500376058,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2001,22.15066768422967,0.21493674813653424,0.8953081475233924,0.006127351835150854,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2002,22.154456098429346,0.21387193727951045,0.89527372649039,0.0061245814883636885,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2003,22.1551640946087,0.2146795233546919,0.8949601057025989,0.006124072277064887,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2001,22.65594130584851,0.1763166939983082,0.9182142729317788,0.0054547304214380195,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2002,22.658480819793414,0.17528062537423583,0.9154909237803736,0.005453076648766609,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2003,22.66023963700019,0.1760086654179454,0.9209556361419782,0.005451949286049505,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2001,22.675760908345687,0.17538360355558152,0.9276049830658939,0.005442609233284857,0.031242647999491068,arithmetic_adaptive,False,3060,6120
