source_index,image_id,snr_db,noise_seed,method,tx_ms,rx_ms,total_ms,header_ok,tx_extra
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,raw_N3060_m8_Dc,55.20607199287042,70.04500197945163,125.25107397232205,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,arithmetic_N3060_m8_Dc,117.00418498367071,131.6939740208909,248.6981590045616,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,raw_N3060_m9_Dc,55.69121101871133,71.11848297063261,126.80969398934394,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,arithmetic_N3060_m9_Dc,118.56959102442488,139.46484902407974,258.0344400485046,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,raw_N3572_m8_Dc,56.06637301389128,70.47382998280227,126.54020299669355,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,arithmetic_N3572_m8_Dc,117.49416298698634,134.10232297610492,251.59648596309125,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,raw_N4084_m8_Dc,56.587433035019785,70.94322302145883,127.53065605647862,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,arithmetic_N4084_m8_Dc,119.27537800511345,132.09745701169595,251.3728350168094,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,m8_D0,55.79405598109588,59.96759299887344,115.76164897996932,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,m8_Dc_only,55.655604985076934,59.289911994710565,114.9455169797875,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,m8_receiver_only_refiner,55.355439020786434,59.889095020480454,115.24453404126689,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,m8_plus_latent_512,55.54635002044961,60.27324899332598,115.81959901377559,1,enhancement512
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,m8_plus_latent_1024,55.705033999402076,60.1666760048829,115.87171000428498,1,enhancement1024
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,raw_N3060_m8_Dc,55.523813993204385,70.07265597349033,125.59646996669471,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,arithmetic_N3060_m8_Dc,117.26792802801356,132.00723699992523,249.27516502793878,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,raw_N3060_m9_Dc,55.669975001364946,71.3452739873901,127.01524898875505,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,arithmetic_N3060_m9_Dc,118.54006600333378,139.18226305395365,257.7223290572874,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,raw_N3572_m8_Dc,55.82472198875621,70.64856204669923,126.47328403545544,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,arithmetic_N3572_m8_Dc,117.5660360022448,130.9500960051082,248.516132007353,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,raw_N4084_m8_Dc,55.163079989142716,70.45173703227192,125.61481702141464,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,7,2001,arithmetic_N4084_m8_Dc,117.98234097659588,132.21354404231533,250.1958850189112,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,m8_D0,56.19213404133916,59.24150301143527,115.43363705277443,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,m8_Dc_only,55.20755099132657,59.697058983147144,114.90460997447371,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,m8_receiver_only_refiner,55.32976100221276,59.93818398565054,115.2679449878633,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,m8_plus_latent_512,55.62575097428635,61.50280102156103,117.12855199584737,1,enhancement512
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,m8_plus_latent_1024,56.32832896662876,60.24908000836149,116.57740897499025,1,enhancement1024
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,raw_N3060_m8_Dc,55.596632009837776,70.24396600900218,125.84059801883996,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,arithmetic_N3060_m8_Dc,118.02257597446442,131.7910029902123,249.8135789646767,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,raw_N3060_m9_Dc,55.95250497572124,71.31762197241187,127.27012694813311,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,13,2001,arithmetic_N3060_m9_Dc,117.90479096816853,139.53432702692226,257.4391179950908,1,arithmetic
