method,source_index,snr_db,psnr_db,lpips_alex,dino_cosine
raw_N3572_m8_D0,0,19,13.516948699951172,0.20085062086582184,0.7360659837722778
raw_N3572_m8_Dc,0,1,14.106797854105631,0.2077686885992686,0.6266823212305704
raw_N3572_m8_Dc,0,4,14.467350641886393,0.19072212278842926,0.6719066103299459
raw_N3572_m8_Dc,0,7,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3572_m8_Dc,0,13,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3572_m8_Dc,0,19,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3572_m9_D0,0,1,8.94290033976237,0.6458533008893331,0.0854246939222018
raw_N3572_m9_D0,0,4,13.685838381449381,0.20595075686772665,0.7023760477701823
raw_N3572_m9_D0,0,7,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N3572_m9_D0,0,13,14.76740837097168,0.1515667736530304,0.8782002925872803
raw_N3572_m9_D0,0,19,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N3572_m9_Dc,0,1,9.057753245035807,0.64273734887441,0.07913915688792865
raw_N3572_m9_Dc,0,4,14.552994728088379,0.1968143234650294,0.6764743526776632
raw_N3572_m9_Dc,0,7,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N3572_m9_Dc,0,13,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N3572_m9_Dc,0,19,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N4084_m7_D0,0,1,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N4084_m7_D0,0,4,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N4084_m7_D0,0,7,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N4084_m7_D0,0,13,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N4084_m7_D0,0,19,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N4084_m7_Dc,0,1,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N4084_m7_Dc,0,4,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N4084_m7_Dc,0,7,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N4084_m7_Dc,0,13,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N4084_m7_Dc,0,19,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N4084_m8_D0,0,1,13.148168881734213,0.21694677571455637,0.7131506005922953
raw_N4084_m8_D0,0,4,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N4084_m8_D0,0,7,13.516948699951172,0.20085062086582184,0.7360659837722778
raw_N4084_m8_D0,0,13,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N4084_m8_D0,0,19,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N4084_m8_Dc,0,1,14.108380317687988,0.20383433004220328,0.638617197672526
raw_N4084_m8_Dc,0,4,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N4084_m8_Dc,0,7,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N4084_m8_Dc,0,13,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N4084_m8_Dc,0,19,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N4084_m9_D0,0,1,9.48623021443685,0.52689661582311,0.14221671720345816
raw_N4084_m9_D0,0,4,14.737557093302408,0.15483057498931885,0.878619650999705
