method,snr_db,sources,psnr_db,lpips_alex,dino_cosine
raw_N3572_m9_Dc,7,100,21.945840098063154,0.1258216405287385,0.9025912100076674
raw_N3572_m9_Dc,13,100,21.945782623291016,0.12581100765615705,0.9026284807920456
raw_N3572_m9_Dc,19,100,21.945782623291016,0.12581100756923358,0.9026284807920456
raw_N4084_m7_D0,1,100,18.101830647786457,0.23381834906836352,0.8497870332002639
raw_N4084_m7_D0,4,100,18.101699466705323,0.23380434520542615,0.8499016338586807
raw_N4084_m7_D0,7,100,18.101699466705323,0.2338043455779553,0.8499016338586807
raw_N4084_m7_D0,13,100,18.101699466705323,0.23380434540410844,0.8499016338586807
raw_N4084_m7_D0,19,100,18.101699466705323,0.23380434545377896,0.8499016338586807
raw_N4084_m7_Dc,1,100,18.753200820287066,0.218423286365966,0.841246544122696
raw_N4084_m7_Dc,4,100,18.75315245628357,0.21840494496126972,0.8414670485258102
raw_N4084_m7_Dc,7,100,18.75315245628357,0.21840494535863403,0.8414670485258102
raw_N4084_m7_Dc,13,100,18.75315245628357,0.21840494533379878,0.8414670485258102
raw_N4084_m7_Dc,19,100,18.75315245628357,0.21840494552006326,0.8414670485258102
raw_N4084_m8_D0,1,100,19.282687791188557,0.18778527696306516,0.8800230185190838
raw_N4084_m8_D0,4,100,19.691336498260497,0.17714117470507812,0.8897967058420181
raw_N4084_m8_D0,7,100,19.69162389755249,0.1771413284105559,0.8897296357154846
raw_N4084_m8_D0,13,100,19.69162389755249,0.1771413292052845,0.8897296357154846
raw_N4084_m8_D0,19,100,19.69162389755249,0.17714132900660232,0.8897296357154846
raw_N4084_m8_Dc,1,100,19.953960596720382,0.17558632924531895,0.8647418334086737
raw_N4084_m8_Dc,4,100,20.39355062802633,0.16470951277141777,0.8753117348750433
raw_N4084_m8_Dc,7,100,20.39431778907776,0.16471791420131926,0.8752845221757889
raw_N4084_m8_Dc,13,100,20.39431778907776,0.1647179140833517,0.8752845221757889
raw_N4084_m8_Dc,19,100,20.39431778907776,0.16471791396538418,0.8752845221757889
raw_N4084_m9_D0,1,100,11.916021502812708,0.5851156584421794,0.1274640772212297
raw_N4084_m9_D0,4,100,21.05540291468303,0.13981793568159145,0.9171708975235622
raw_N4084_m9_D0,7,100,21.24372802734375,0.1358956212674578,0.923858757019043
raw_N4084_m9_D0,13,100,21.24372802734375,0.1358956212177873,0.923858757019043
raw_N4084_m9_D0,19,100,21.24372802734375,0.13589562155306337,0.923858757019043
raw_N4084_m9_Dc,1,100,12.004179180463156,0.5775234624743463,0.11402630787963669
raw_N4084_m9_Dc,4,100,21.73538635889689,0.12961875802526868,0.8952260015408199
raw_N4084_m9_Dc,7,100,21.945782623291016,0.12581100756923358,0.9026284807920456
raw_N4084_m9_Dc,13,100,21.945782623291016,0.12581100753198068,0.9026284807920456
raw_N4084_m9_Dc,19,100,21.945782623291016,0.12581100790450972,0.9026284807920456
