method,source_index,snr_db,seed,mse,lpips_alex,normalized_latent,utility
pure_continuous,4,4.0,4102,0.003524984000250697,0.09197628498077393,0.3623325824737549,0.01634593866765499
pure_continuous,5,4.0,4102,0.001541361678391695,0.07164806872606277,0.25556719303131104,0.011261841282248497
pure_continuous,6,4.0,4102,0.006595430430024862,0.14594866335391998,0.42887651920318604,0.025479061529040337
pure_continuous,7,4.0,4102,0.008854079060256481,0.12532807886600494,0.6565029621124268,0.027951916679739952
pure_continuous,8,4.0,4102,0.010521050542593002,0.18911293148994446,0.5487778186798096,0.03492012247443199
pure_continuous,9,4.0,4102,0.0040113963186740875,0.10207059234380722,0.34051376581192017,0.017623594030737877
pure_continuous,10,4.0,4102,0.006456179078668356,0.12147527933120728,0.7463150024414062,0.02606685645878315
pure_continuous,11,4.0,4102,0.0041579860262572765,0.06960891932249069,0.3271852135658264,0.014390729367733002
pure_continuous,12,4.0,4102,0.007655613124370575,0.06690889596939087,0.39221346378326416,0.018268637359142303
pure_continuous,13,4.0,4102,0.005298291333019733,0.07967337965965271,0.5064252018928528,0.018329881131649017
pure_continuous,14,4.0,4102,0.007913215085864067,0.09400869160890579,0.401248037815094,0.021326564252376556
pure_continuous,15,4.0,4102,0.006170912645757198,0.06389477103948593,0.29018881916999817,0.015462278388440609
full_tx_control,0,4.0,4102,0.004808800294995308,0.1213400661945343,0.5263575315475464,0.0222063809633255
full_tx_control,1,4.0,4102,0.009563621133565903,0.1733722984790802,0.60695481300354,0.03297039866447449
full_tx_control,2,4.0,4102,0.0032888471614569426,0.10607661306858063,0.3921029567718506,0.017817538231611252
full_tx_control,3,4.0,4102,0.0013071857392787933,0.07436629384756088,0.3142856955528259,0.011886672116816044
full_tx_control,4,4.0,4102,0.003413836006075144,0.10024382174015045,0.39881497621536255,0.017426367849111557
full_tx_control,5,4.0,4102,0.0013191578909754753,0.06062832102179527,0.24584731459617615,0.009840463288128376
full_tx_control,6,4.0,4102,0.007526881992816925,0.15527381002902985,0.5074352622032166,0.028128616511821747
full_tx_control,7,4.0,4102,0.010914711281657219,0.14172080159187317,0.8029994964599609,0.03311678394675255
full_tx_control,8,4.0,4102,0.009970273822546005,0.14676886796951294,0.6614897847175598,0.03126205876469612
full_tx_control,9,4.0,4102,0.004159824922680855,0.08346422761678696,0.37605684995651245,0.01626681536436081
full_tx_control,10,4.0,4102,0.00756417028605938,0.1362941563129425,0.9076381921768188,0.030269969254732132
full_tx_control,11,4.0,4102,0.0046874238178133965,0.08138064295053482,0.36485904455184937,0.016474079340696335
full_tx_control,12,4.0,4102,0.008872708305716515,0.0738523080945015,0.44857528805732727,0.02074369229376316
