method,source_index,snr_db,seed,mse,lpips,utility
raw_N4084_m7_Dc,10,13.0,4101,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,13.0,4102,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,13.0,4103,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,19.0,4101,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,19.0,4102,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,19.0,4103,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,11,1.0,4101,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,1.0,4102,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,1.0,4103,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,4.0,4101,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,4.0,4102,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,4.0,4103,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,7.0,4101,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,7.0,4102,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,7.0,4103,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,13.0,4101,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,13.0,4102,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,13.0,4103,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,19.0,4101,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,19.0,4102,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,11,19.0,4103,0.007795048281740479,0.13009995222091675,0.020805043503832152
raw_N4084_m7_Dc,12,1.0,4101,0.021102947044703182,0.14480805397033691,0.03558375244173687
raw_N4084_m7_Dc,12,1.0,4102,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,1.0,4103,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,4.0,4101,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,4.0,4102,0.021102947044703182,0.14480805397033691,0.03558375244173687
raw_N4084_m7_Dc,12,4.0,4103,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,7.0,4101,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,7.0,4102,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,7.0,4103,0.021102947044703182,0.14480805397033691,0.03558375244173687
raw_N4084_m7_Dc,12,13.0,4101,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,13.0,4102,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,13.0,4103,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,19.0,4101,0.021102947044703182,0.14480805397033691,0.03558375244173687
raw_N4084_m7_Dc,12,19.0,4102,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,12,19.0,4103,0.021102947044703182,0.14480803906917572,0.03558375095162075
raw_N4084_m7_Dc,13,1.0,4101,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,1.0,4102,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,1.0,4103,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,4.0,4101,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,4.0,4102,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,4.0,4103,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,7.0,4101,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,7.0,4102,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,7.0,4103,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,13.0,4101,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,13.0,4102,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,13.0,4103,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,19.0,4101,0.014352699551272295,0.17457959055900574,0.03181065860717287
raw_N4084_m7_Dc,13,19.0,4102,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,13,19.0,4103,0.014352699551272295,0.17457957565784454,0.031810657117056745
raw_N4084_m7_Dc,14,1.0,4101,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,1.0,4102,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,1.0,4103,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,4.0,4101,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,4.0,4102,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,4.0,4103,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,7.0,4101,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,7.0,4102,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,7.0,4103,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,13.0,4101,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,13.0,4102,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,13.0,4103,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,19.0,4101,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,19.0,4102,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,14,19.0,4103,0.016115696103029237,0.1722058206796646,0.0333362781709957
raw_N4084_m7_Dc,15,1.0,4101,0.011282123813873009,0.13449890911579132,0.02473201472545214
raw_N4084_m7_Dc,15,1.0,4102,0.011282123813873009,0.13449889421463013,0.024732013235336022
raw_N4084_m7_Dc,15,1.0,4103,0.011282123813873009,0.13449889421463013,0.024732013235336022
raw_N4084_m7_Dc,15,4.0,4101,0.011282123813873009,0.13449889421463013,0.024732013235336022
raw_N4084_m7_Dc,15,4.0,4102,0.011282123813873009,0.13449890911579132,0.02473201472545214
raw_N4084_m7_Dc,15,4.0,4103,0.011282123813873009,0.13449889421463013,0.024732013235336022
