method,source_index,snr_db,seed,mse,lpips,utility
arithmetic_N4084_m8_Dc,6,1.0,4103,0.014055830832309919,0.2082638293504715,0.03488221376735707
arithmetic_N4084_m8_Dc,6,4.0,4101,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,4.0,4102,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,4.0,4103,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,7.0,4101,0.011642993201245018,0.19402721524238586,0.031045714725483606
arithmetic_N4084_m8_Dc,6,7.0,4102,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,7.0,4103,0.011642993201245018,0.19402721524238586,0.031045714725483606
arithmetic_N4084_m8_Dc,6,13.0,4101,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,13.0,4102,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,13.0,4103,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,19.0,4101,0.011642993201245018,0.19402721524238586,0.031045714725483606
arithmetic_N4084_m8_Dc,6,19.0,4102,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,6,19.0,4103,0.011642993201245018,0.19402723014354706,0.031045716215599727
arithmetic_N4084_m8_Dc,7,1.0,4101,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,1.0,4102,0.0173172317843582,0.19386610388755798,0.036703842173113996
arithmetic_N4084_m8_Dc,7,1.0,4103,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,4.0,4101,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,4.0,4102,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,4.0,4103,0.0173172317843582,0.19386610388755798,0.036703842173113996
arithmetic_N4084_m8_Dc,7,7.0,4101,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,7.0,4102,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,7.0,4103,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,13.0,4101,0.0173172317843582,0.19386610388755798,0.036703842173113996
arithmetic_N4084_m8_Dc,7,13.0,4102,0.0173172317843582,0.19386610388755798,0.036703842173113996
arithmetic_N4084_m8_Dc,7,13.0,4103,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,19.0,4101,0.0173172317843582,0.19386611878871918,0.03670384366323012
arithmetic_N4084_m8_Dc,7,19.0,4102,0.0173172317843582,0.19386610388755798,0.036703842173113996
arithmetic_N4084_m8_Dc,7,19.0,4103,0.0173172317843582,0.19386610388755798,0.036703842173113996
