method,source_index,snr_db,seed,mse,lpips,utility
m8_plus_latent_512_fold_N4084,2,7.0,4103,0.0037254865746945143,0.11656676977872849,0.015382164157927036
m8_plus_latent_512_fold_N4084,2,13.0,4101,0.003677009604871273,0.11420735716819763,0.015097745694220066
m8_plus_latent_512_fold_N4084,2,13.0,4102,0.003558136522769928,0.1114540845155716,0.014703544788062572
m8_plus_latent_512_fold_N4084,2,13.0,4103,0.0035127531737089157,0.11247140169143677,0.014759893529117107
m8_plus_latent_512_fold_N4084,2,19.0,4101,0.0035538901574909687,0.11264020949602127,0.014817912131547928
m8_plus_latent_512_fold_N4084,2,19.0,4102,0.0034907867666333914,0.11098756641149521,0.014589543454349041
m8_plus_latent_512_fold_N4084,2,19.0,4103,0.0034692450426518917,0.11154325306415558,0.014623571187257767
m8_plus_latent_512_fold_N4084,3,1.0,4101,0.001586978673003614,0.1134021207690239,0.012927190400660038
m8_plus_latent_512_fold_N4084,3,1.0,4102,0.0033645702060312033,0.1265488862991333,0.016019457951188087
m8_plus_latent_512_fold_N4084,3,1.0,4103,0.013616252690553665,0.2476288080215454,0.038379132747650146
m8_plus_latent_512_fold_N4084,3,4.0,4101,0.001445758156478405,0.0850585401058197,0.00995161198079586
m8_plus_latent_512_fold_N4084,3,4.0,4102,0.0014685839414596558,0.08449907600879669,0.00991849135607481
m8_plus_latent_512_fold_N4084,3,4.0,4103,0.001556476578116417,0.08183315396308899,0.009739791974425316
m8_plus_latent_512_fold_N4084,3,7.0,4101,0.0013573388569056988,0.08163545280694962,0.009520884603261948
m8_plus_latent_512_fold_N4084,3,7.0,4102,0.001352830557152629,0.08104170113801956,0.009457001462578773
m8_plus_latent_512_fold_N4084,3,7.0,4103,0.0014234607806429267,0.07888126373291016,0.009311586618423462
m8_plus_latent_512_fold_N4084,3,13.0,4101,0.0012482195161283016,0.07802437245845795,0.009050657041370869
m8_plus_latent_512_fold_N4084,3,13.0,4102,0.0012237445916980505,0.07749789208173752,0.008973534218966961
m8_plus_latent_512_fold_N4084,3,13.0,4103,0.0012654096353799105,0.07638025283813477,0.008903435431420803
m8_plus_latent_512_fold_N4084,3,19.0,4101,0.0011911590117961168,0.07596273720264435,0.008787432685494423
m8_plus_latent_512_fold_N4084,3,19.0,4102,0.0011747159296646714,0.07526267319917679,0.008700983598828316
m8_plus_latent_512_fold_N4084,3,19.0,4103,0.0011956332018598914,0.07482884079217911,0.008678517304360867
m8_plus_latent_512_fold_N4084,4,1.0,4101,0.008155692368745804,0.18232980370521545,0.02638867311179638
m8_plus_latent_512_fold_N4084,4,1.0,4102,0.006003431975841522,0.16378900408744812,0.022382332012057304
m8_plus_latent_512_fold_N4084,4,1.0,4103,0.005055555608123541,0.1541493982076645,0.020470496267080307
m8_plus_latent_512_fold_N4084,4,4.0,4101,0.0036189607344567776,0.10624862462282181,0.014243822544813156
m8_plus_latent_512_fold_N4084,4,4.0,4102,0.0037605492398142815,0.10241279006004333,0.014001828618347645
m8_plus_latent_512_fold_N4084,4,4.0,4103,0.0037960903719067574,0.10529539734125137,0.01432562991976738
m8_plus_latent_512_fold_N4084,4,7.0,4101,0.003472214099019766,0.10076690465211868,0.013548905029892921
m8_plus_latent_512_fold_N4084,4,7.0,4102,0.003619762836024165,0.09851370751857758,0.013471134006977081
m8_plus_latent_512_fold_N4084,4,7.0,4103,0.0036059971898794174,0.09952179342508316,0.013558176346123219
m8_plus_latent_512_fold_N4084,4,13.0,4101,0.0033563282340765,0.09431396424770355,0.01278772484511137
m8_plus_latent_512_fold_N4084,4,13.0,4102,0.0034439489245414734,0.09421499818563461,0.01286544930189848
m8_plus_latent_512_fold_N4084,4,13.0,4103,0.003398996777832508,0.09320718050003052,0.012719715014100075
m8_plus_latent_512_fold_N4084,4,19.0,4101,0.003316079033538699,0.09222300350666046,0.012538379989564419
m8_plus_latent_512_fold_N4084,4,19.0,4102,0.003362467512488365,0.09213218092918396,0.012575685977935791
m8_plus_latent_512_fold_N4084,4,19.0,4103,0.0033323653042316437,0.09158605337142944,0.012490971013903618
m8_plus_latent_512_fold_N4084,5,1.0,4101,0.008074806071817875,0.27706339955329895,0.035781145095825195
m8_plus_latent_512_fold_N4084,5,1.0,4102,0.0033685925882309675,0.11916476488113403,0.0152850691229105
m8_plus_latent_512_fold_N4084,5,1.0,4103,0.005127468146383762,0.15543118119239807,0.020670585334300995
m8_plus_latent_512_fold_N4084,5,4.0,4101,0.0017160967690870166,0.08065125346183777,0.00978122279047966
m8_plus_latent_512_fold_N4084,5,4.0,4102,0.0016698064282536507,0.0795101672410965,0.009620822966098785
m8_plus_latent_512_fold_N4084,5,4.0,4103,0.0017040105303749442,0.08049070835113525,0.009753081016242504
m8_plus_latent_512_fold_N4084,5,7.0,4101,0.001599123701453209,0.0757998451590538,0.00917910784482956
m8_plus_latent_512_fold_N4084,5,7.0,4102,0.001583961769938469,0.07716799527406693,0.009300760924816132
m8_plus_latent_512_fold_N4084,5,7.0,4103,0.001607338315807283,0.07805576175451279,0.009412914514541626
m8_plus_latent_512_fold_N4084,5,13.0,4101,0.00150224135722965,0.07254613935947418,0.008756855502724648
m8_plus_latent_512_fold_N4084,5,13.0,4102,0.0014874073676764965,0.07384057343006134,0.008871464990079403
m8_plus_latent_512_fold_N4084,5,13.0,4103,0.0015157980378717184,0.07455092668533325,0.008970891125500202
m8_plus_latent_512_fold_N4084,5,19.0,4101,0.0014753745635971427,0.07208893448114395,0.008684268221259117
m8_plus_latent_512_fold_N4084,5,19.0,4102,0.001460893778130412,0.07273031771183014,0.00873392540961504
m8_plus_latent_512_fold_N4084,5,19.0,4103,0.001484240754507482,0.07328902184963226,0.008813142776489258
m8_plus_latent_512_fold_N4084,6,1.0,4101,0.014509310945868492,0.25110217928886414,0.039619527757167816
m8_plus_latent_512_fold_N4084,6,1.0,4102,0.010684924200177193,0.20284663140773773,0.030969588086009026
