method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,7,20,171.40269824885763,160.51086330553517,331.9135615543928,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,13,20,171.69123910134658,160.70068709086627,332.39192619221285,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,19,20,171.53139908914454,161.349726858316,332.88112594746053,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m6,1,20,9.818165889009833,118.27360629686154,128.09177218587138,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m6,4,20,9.819769591558725,118.0119720986113,127.83174169017002,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m6,7,20,9.811212489148602,118.14567734836601,127.95688983751461,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m6,13,20,9.8074902954977,118.06565361912362,127.87314391462132,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m6,19,20,9.835441404720768,117.94896984356456,127.78441124828532,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m7,1,20,10.222227085614577,118.06051359744743,128.282740683062,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m7,4,20,10.190594545565546,118.19649675162509,128.38709129719064,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m7,7,20,10.191843553911895,118.18250295473263,128.37434650864452,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m7,13,20,10.22020090604201,118.11291790218093,128.33311880822293,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m7,19,20,10.187947266967967,118.06850160937756,128.25644887634553,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m8,1,20,10.776150203309953,118.71818993822671,129.49434014153667,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m8,4,20,10.77721343608573,118.47767003346235,129.25488346954808,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m8,7,20,10.777701152255759,118.50162700284272,129.27932815509848,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m8,13,20,10.85789569769986,118.25135375838727,129.10924945608713,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N2048/m8,19,20,10.745725821470842,118.34098759572953,129.08671341720037,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m6,1,20,9.832291613565758,118.16602324252017,127.99831485608593,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m6,4,20,9.836035995977,117.99060313496739,127.82663913094439,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m6,7,20,9.842142555862665,117.97814024030231,127.82028279616497,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m6,13,20,9.82349852565676,118.31193979596719,128.13543832162395,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/raw/QPSK/N3060/m6,19,20,9.82785978121683,117.87432404235005,127.70218382356688,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
