method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,20,7.0,"2001,2002,2003",25.923301696777344,0.059675668676694237,0.936682939529419
arithmetic_adaptive_m789_Dc,20,13.0,"2001,2002,2003",25.923301696777344,0.0596756674349308,0.936682939529419
arithmetic_adaptive_m789_Dc,20,19.0,"2001,2002,2003",25.923301696777344,0.0596756674349308,0.936682939529419
arithmetic_adaptive_m789_Dc,21,1.0,"2001,2002,2003",16.25296942392985,0.2791669915119807,0.8159963488578796
arithmetic_adaptive_m789_Dc,21,4.0,"2001,2002,2003",19.532121658325195,0.17364829778671265,0.8970870971679688
arithmetic_adaptive_m789_Dc,21,7.0,"2001,2002,2003",19.532121658325195,0.17364829778671265,0.8970871369043986
arithmetic_adaptive_m789_Dc,21,13.0,"2001,2002,2003",19.532121658325195,0.17364829778671265,0.8970872163772583
arithmetic_adaptive_m789_Dc,21,19.0,"2001,2002,2003",19.532121658325195,0.17364829778671265,0.8970872163772583
arithmetic_adaptive_m789_Dc,22,1.0,"2001,2002,2003",19.20591163635254,0.1501534233490626,0.937623918056488
arithmetic_adaptive_m789_Dc,22,4.0,"2001,2002,2003",20.730674743652344,0.11449753493070602,0.9644520282745361
arithmetic_adaptive_m789_Dc,22,7.0,"2001,2002,2003",20.73067347208659,0.11449753493070602,0.964452068010966
arithmetic_adaptive_m789_Dc,22,13.0,"2001,2002,2003",20.730670928955078,0.11449753493070602,0.9644521474838257
arithmetic_adaptive_m789_Dc,22,19.0,"2001,2002,2003",20.730670928955078,0.11449753493070602,0.9644521474838257
arithmetic_adaptive_m789_Dc,23,1.0,"2001,2002,2003",24.32339922587077,0.17349613706270853,0.9223558306694031
arithmetic_adaptive_m789_Dc,23,4.0,"2001,2002,2003",25.851207733154297,0.13148190081119537,0.9198100566864014
arithmetic_adaptive_m789_Dc,23,7.0,"2001,2002,2003",25.851206461588543,0.13148190577824911,0.9198100566864014
arithmetic_adaptive_m789_Dc,23,13.0,"2001,2002,2003",25.85120391845703,0.13148190577824911,0.9198100566864014
arithmetic_adaptive_m789_Dc,23,19.0,"2001,2002,2003",25.85120391845703,0.13148190577824911,0.9198100566864014
arithmetic_adaptive_m789_Dc,24,1.0,"2001,2002,2003",16.32590675354004,0.2450967033704122,0.8101915518442789
arithmetic_adaptive_m789_Dc,24,4.0,"2001,2002,2003",18.286486943562824,0.19572094082832336,0.8955864310264587
arithmetic_adaptive_m789_Dc,24,7.0,"2001,2002,2003",20.94670867919922,0.13069013257821402,0.9307181239128113
arithmetic_adaptive_m789_Dc,24,13.0,"2001,2002,2003",20.94670867919922,0.13069012761116028,0.9307182431221008
arithmetic_adaptive_m789_Dc,24,19.0,"2001,2002,2003",20.94670867919922,0.13069013257821402,0.9307182431221008
arithmetic_adaptive_m789_Dc,25,1.0,"2001,2002,2003",18.167887369791668,0.25423482060432434,0.683395783106486
arithmetic_adaptive_m789_Dc,25,4.0,"2001,2002,2003",20.721952438354492,0.15830351412296295,0.8342722654342651
arithmetic_adaptive_m789_Dc,25,7.0,"2001,2002,2003",20.721952438354492,0.15830351412296295,0.834272305170695
arithmetic_adaptive_m789_Dc,25,13.0,"2001,2002,2003",20.721952438354492,0.15830351412296295,0.8342723846435547
arithmetic_adaptive_m789_Dc,25,19.0,"2001,2002,2003",20.721952438354492,0.15830351412296295,0.8342723846435547
arithmetic_adaptive_m789_Dc,26,1.0,"2001,2002,2003",15.556618690490723,0.2694252034028371,0.8516251643498739
arithmetic_adaptive_m789_Dc,26,4.0,"2001,2002,2003",17.340242385864258,0.19899775584538779,0.9142552018165588
arithmetic_adaptive_m789_Dc,26,7.0,"2001,2002,2003",17.340242385864258,0.19899775087833405,0.9142552018165588
arithmetic_adaptive_m789_Dc,26,13.0,"2001,2002,2003",17.340242385864258,0.19899775584538779,0.9142552018165588
arithmetic_adaptive_m789_Dc,26,19.0,"2001,2002,2003",17.340242385864258,0.19899775584538779,0.9142552018165588
arithmetic_adaptive_m789_Dc,27,1.0,"2001,2002,2003",23.415687561035156,0.12663491070270538,0.8615432977676392
arithmetic_adaptive_m789_Dc,27,4.0,"2001,2002,2003",24.243255615234375,0.1036054144303004,0.8519211411476135
arithmetic_adaptive_m789_Dc,27,7.0,"2001,2002,2003",24.243255615234375,0.1036054144303004,0.8519210815429688
arithmetic_adaptive_m789_Dc,27,13.0,"2001,2002,2003",24.243255615234375,0.10360541939735413,0.8519209623336792
arithmetic_adaptive_m789_Dc,27,19.0,"2001,2002,2003",24.243255615234375,0.10360541939735413,0.8519209623336792
arithmetic_adaptive_m789_Dc,28,1.0,"2001,2002,2003",20.049843470255535,0.1700633962949117,0.8220506509145101
arithmetic_adaptive_m789_Dc,28,4.0,"2001,2002,2003",21.199905395507812,0.13142171005407968,0.8492817878723145
arithmetic_adaptive_m789_Dc,28,7.0,"2001,2002,2003",21.199905395507812,0.13142171005407968,0.8492817481358846
arithmetic_adaptive_m789_Dc,28,13.0,"2001,2002,2003",21.199905395507812,0.13142171005407968,0.8492816686630249
arithmetic_adaptive_m789_Dc,28,19.0,"2001,2002,2003",21.199905395507812,0.13142171005407968,0.8492816686630249
arithmetic_adaptive_m789_Dc,29,1.0,"2001,2002,2003",19.48213259379069,0.2001092235247294,0.7198171615600586
arithmetic_adaptive_m789_Dc,29,4.0,"2001,2002,2003",21.837318420410156,0.13310903310775757,0.8845616579055786
arithmetic_adaptive_m789_Dc,29,7.0,"2001,2002,2003",21.837318420410156,0.1331090380748113,0.8845616579055786
arithmetic_adaptive_m789_Dc,29,13.0,"2001,2002,2003",21.837318420410156,0.1331090380748113,0.8845616579055786
arithmetic_adaptive_m789_Dc,29,19.0,"2001,2002,2003",21.837318420410156,0.1331090380748113,0.8845616579055786
arithmetic_adaptive_m789_Dc,30,1.0,"2001,2002,2003",28.49810791015625,0.10671753684679668,0.8716034889221191
arithmetic_adaptive_m789_Dc,30,4.0,"2001,2002,2003",29.50008773803711,0.08266766369342804,0.9518203735351562
arithmetic_adaptive_m789_Dc,30,7.0,"2001,2002,2003",29.50008773803711,0.08266766120990117,0.9518203735351562
arithmetic_adaptive_m789_Dc,30,13.0,"2001,2002,2003",29.50008773803711,0.08266766120990117,0.9518203735351562
arithmetic_adaptive_m789_Dc,30,19.0,"2001,2002,2003",29.50008773803711,0.08266766120990117,0.9518203735351562
arithmetic_adaptive_m789_Dc,31,1.0,"2001,2002,2003",14.79388395945231,0.27691041429837543,0.8164337873458862
arithmetic_adaptive_m789_Dc,31,4.0,"2001,2002,2003",16.72452735900879,0.17462745308876038,0.8896850347518921
arithmetic_adaptive_m789_Dc,31,7.0,"2001,2002,2003",16.72452735900879,0.17462745308876038,0.8896849552790324
arithmetic_adaptive_m789_Dc,31,13.0,"2001,2002,2003",16.72452735900879,0.17462745308876038,0.889684796333313
arithmetic_adaptive_m789_Dc,31,19.0,"2001,2002,2003",16.72452735900879,0.17462745308876038,0.889684796333313
