method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,1,20,172.1607873972971,162.42709640646353,334.58788380376063,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,4,20,171.76536585902795,161.88308559940197,333.6484514584299,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,7,20,171.7102678027004,161.8909350479953,333.6012028506957,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,13,20,172.46884228661656,162.091162847355,334.5600051339716,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,19,20,172.28809905354865,162.16589787509292,334.4539969286416,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,1,20,9.833622700534761,119.42735881311819,129.26098151365295,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,4,20,9.832563711097464,119.00795944966376,128.84052316076122,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,7,20,9.831346391001716,118.97013045381755,128.80147684481926,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,13,20,9.822662302758545,118.91577424830757,128.73843655106612,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,19,20,9.829496138263494,118.9799276588019,128.8094237970654,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,1,20,10.197401588084176,118.8515325076878,129.04893409577198,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,4,20,10.171764553524554,118.94706340972334,129.1188279632479,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,7,20,10.215446911752224,119.14326144033112,129.35870835208334,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,13,20,10.173811303684488,119.20474350336008,129.37855480704457,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,19,20,10.176986793521792,119.03950965497643,129.21649644849822,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,1,20,10.74828946730122,119.22507422277704,129.97336369007826,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,4,20,10.744515899568796,119.09856015117839,129.8430760507472,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
