method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,energy_constraint,table_sha256
token-efficiency-digital-v1/raw/16QAM/N2048/m9,7,2048,4093.12,3996.8,4018.56,4166.719999999999,4220.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m9,13,2048,4093.12,3996.8,4018.56,4166.719999999999,4220.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m9,19,2048,4093.12,3996.8,4018.56,4166.719999999999,4220.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m10,1,3060,6123.28,5945.6,6022.96,6236.879999999999,6268.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m10,4,3060,6123.28,5945.6,6022.96,6236.879999999999,6268.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m10,7,3060,6123.28,5945.6,6022.96,6236.879999999999,6268.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m10,13,3060,6123.28,5945.6,6022.96,6236.879999999999,6268.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m10,19,3060,6123.28,5945.6,6022.96,6236.879999999999,6268.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m6,1,3060,6135.936000000001,5899.200000000001,5960.88,6327.280000000001,6414.400000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m6,4,3060,6135.936000000001,5899.200000000001,5960.88,6327.280000000001,6414.400000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m6,7,3060,6135.936000000001,5899.200000000001,5960.88,6327.280000000001,6414.400000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m6,13,3060,6135.936000000001,5899.200000000001,5960.88,6327.280000000001,6414.400000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m6,19,3060,6135.936000000001,5899.200000000001,5960.88,6327.280000000001,6414.400000000001,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m7,1,3060,6130.2880000000005,5897.6,6011.839999999999,6270.799999999999,6374.4000000000015,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m7,4,3060,6130.2880000000005,5897.6,6011.839999999999,6270.799999999999,6374.4000000000015,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N3060/m7,7,3060,6130.2880000000005,5897.6,6011.839999999999,6270.799999999999,6374.4000000000015,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
