method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,psnr_db,lpips_alex,dino_cosine
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,1,1,True,165,18.434547424316406,0.1922943890094757,0.875124454498291
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,1,1,True,141,18.49390411376953,0.19173315167427063,0.8799157738685608
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,1,1,True,165,18.554323196411133,0.18477773666381836,0.8941289186477661
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,1,1,True,141,18.59122085571289,0.18388089537620544,0.8952860832214355
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,1,1,True,165,18.473403930664062,0.1883971393108368,0.8712755441665649
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,1,1,True,141,18.519412994384766,0.1878720223903656,0.8729498386383057
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,1,1,True,165,18.556350708007812,0.19045373797416687,0.8838834762573242
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,1,1,True,141,18.595306396484375,0.18953560292720795,0.8865038156509399
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,1,1,True,165,18.67056655883789,0.18330144882202148,0.8975817561149597
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,1,1,True,141,18.68225860595703,0.1834954172372818,0.898736298084259
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,1,1,True,165,18.63030242919922,0.18616536259651184,0.8805068731307983
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,1,1,True,141,18.64742088317871,0.18593579530715942,0.8834296464920044
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,1,1,True,165,18.676923751831055,0.18811200559139252,0.8926466107368469
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,1,1,True,141,18.688106536865234,0.18793253600597382,0.893722414970398
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,1,1,True,165,18.70513916015625,0.18482083082199097,0.9012885093688965
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,1,1,True,141,18.70770263671875,0.18506988883018494,0.9014696478843689
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,1,1,True,165,18.685688018798828,0.18599443137645721,0.8920318484306335
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,1,1,True,141,18.691102981567383,0.1860285848379135,0.8933272957801819
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,1,1,True,165,18.709117889404297,0.1871524304151535,0.8979785442352295
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,1,1,True,141,18.711227416992188,0.1869407594203949,0.8987205028533936
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,1,0,False,0,20.230253219604492,0.3227331340312958,0.4589917063713074
