method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,1,1,True,160,2048.0,16.430585861206055,0.18491122126579285,0.8620024919509888
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,1,1,True,187,2047.999755859375,16.448558807373047,0.1839333474636078,0.8625764846801758
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,1,1,True,160,2048.0,16.45182991027832,0.18387937545776367,0.8623255491256714
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,1,1,True,187,2047.999755859375,16.43581771850586,0.18607090413570404,0.8519174456596375
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,1,1,True,160,2048.0,16.44071388244629,0.1856527328491211,0.8534042239189148
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,1,1,True,187,2047.999755859375,16.454559326171875,0.18355758488178253,0.8599361777305603
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,1,1,True,160,2048.0,16.45700454711914,0.1832987666130066,0.8598709106445312
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,1,0,True,165,2048.0,17.265302658081055,0.2898540794849396,0.7485389709472656
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,1,0,True,141,2048.0,16.962966918945312,0.3108510971069336,0.7434606552124023
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,1,0,True,165,2048.0,17.63567543029785,0.22550010681152344,0.776724636554718
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,1,0,True,141,2048.0,17.431533813476562,0.2344171702861786,0.7632098197937012
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,1,0,True,165,2048.0,17.392723083496094,0.27898484468460083,0.7970077991485596
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,1,0,True,141,2048.0,17.123342514038086,0.28902748227119446,0.7721601724624634
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,1,1,True,165,2048.0,18.43598175048828,0.18869349360466003,0.890223503112793
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,1,1,True,141,2048.0,18.492952346801758,0.18667209148406982,0.8921371698379517
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,1,1,True,165,2048.0,18.335222244262695,0.1906147450208664,0.8584344387054443
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,1,1,True,141,2048.0,18.399158477783203,0.1894265115261078,0.8632840514183044
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,1,1,True,165,2048.0,18.434593200683594,0.19230075180530548,0.8751486539840698
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,1,1,True,141,2048.0,18.493988037109375,0.19173894822597504,0.8799809217453003
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,1,1,True,165,2048.0,18.55420684814453,0.18476906418800354,0.8941073417663574
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,1,1,True,141,2048.0,18.59117889404297,0.18386608362197876,0.8952573537826538
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,1,1,True,165,2048.0,18.47344970703125,0.18839815258979797,0.8712161183357239
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,1,1,True,141,2048.0,18.51952362060547,0.18788079917430878,0.8730152249336243
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,1,1,True,165,2048.0,18.556373596191406,0.19044442474842072,0.8838993906974792
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,1,1,True,141,2048.0,18.595272064208984,0.18954114615917206,0.8864718675613403
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,1,1,True,165,2048.0,18.670543670654297,0.18328803777694702,0.8975806832313538
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,1,1,True,141,2048.0,18.682228088378906,0.18348459899425507,0.8987439870834351
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,1,1,True,165,2048.0,18.630292892456055,0.18617330491542816,0.8804734349250793
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,1,1,True,141,2048.0,18.64743423461914,0.18593192100524902,0.8834145069122314
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,1,1,True,165,2048.0,18.676944732666016,0.18810740113258362,0.8926273584365845
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,1,1,True,141,2048.0,18.68807601928711,0.18792738020420074,0.8937296867370605
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,1,1,True,165,2048.0,18.705055236816406,0.18481974303722382,0.901296854019165
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,1,1,True,141,2048.0,18.70761489868164,0.18506281077861786,0.9014732241630554
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,1,1,True,165,2048.0,18.685640335083008,0.18600760400295258,0.891993522644043
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,1,1,True,141,2048.0,18.690990447998047,0.18603241443634033,0.8933279514312744
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,1,1,True,165,2048.0,18.709089279174805,0.1871291548013687,0.8980227708816528
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,1,1,True,141,2048.0,18.71121597290039,0.18694618344306946,0.8986974954605103
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,1,0,False,0,2048.0,20.34528350830078,0.3148329555988312,0.5682428479194641
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,1,0,False,0,2047.999755859375,20.34528350830078,0.3148329555988312,0.5682428479194641
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,1,0,True,112,2048.0,22.753070831298828,0.17423416674137115,0.8025891780853271
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,1,0,True,87,2047.999755859375,22.480300903320312,0.18530423939228058,0.8063076734542847
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,1,0,True,112,2048.0,21.716501235961914,0.2511155903339386,0.4033590853214264
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,1,0,True,87,2047.999755859375,21.383602142333984,0.27347081899642944,0.33541902899742126
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,1,1,True,112,2048.0,23.934032440185547,0.13530883193016052,0.8416986465454102
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,1,1,True,87,2047.999755859375,23.965442657470703,0.13419339060783386,0.8427314162254333
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,1,1,True,112,2048.0,23.928632736206055,0.1386258602142334,0.8346946239471436
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,1,1,True,87,2047.999755859375,23.958255767822266,0.13717424869537354,0.8378292322158813
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,1,1,True,112,2048.0,23.87590217590332,0.13251298666000366,0.8528573513031006
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,1,1,True,87,2047.999755859375,23.906631469726562,0.13214020431041718,0.8562870621681213
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,4084,8168,1,1,True,112,2048.0,23.998048782348633,0.1323845237493515,0.8447349071502686
residual,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,4084,8168,1,1,True,87,2047.999755859375,24.020769119262695,0.13119108974933624,0.8464831709861755
source,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,4084,8168,1,1,True,112,2048.0,23.989185333251953,0.1356218457221985,0.8417075276374817
