method,protocol,complex_uses,total_energy,scope,source_images,transmissions,psnr_db,psnr_db_ci_low,psnr_db_ci_high,ssim,ssim_ci_low,ssim_ci_high,lpips,lpips_ci_low,lpips_ci_high,dino,dino_ci_low,dino_ci_high
arithmetic_adaptive,common_paid_information,3060,6120,snr_19,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160606622696,0.5343905707709491,0.6038470960147678,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive,common_paid_information,3060,6120,primary_1_4_7,100,900,19.669175090789796,19.04369955608581,20.278888589090776,0.5117587086020244,0.4752487021431119,0.546887760853188,0.1825800808167292,0.17199568410243632,0.1932372401916007,0.8872288244631555,0.8772534894885291,0.896929748160144
arithmetic_adaptive,common_paid_information,3060,6120,high_13_19,100,600,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160606622696,0.5343905707709491,0.6038470960147678,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4204,common_paid_information,4204,8408,snr_1,100,300,19.169600721995035,18.502106112003325,19.824297837972647,0.4916599858676395,0.4535330935384456,0.5288343243313333,0.1994867944779495,0.1855950185689144,0.2140698753520846,0.8631805646419527,0.8470295702815058,0.8783856793145337
arithmetic_adaptive_N4204,common_paid_information,4204,8408,snr_4,100,300,21.12836356163025,20.472861960808437,21.76855657839775,0.56555146291852,0.5297968416797618,0.6001845774091781,0.14087910424917938,0.1310080534548809,0.15116998454183342,0.9204411202669144,0.912623977959156,0.9280343143343925
arithmetic_adaptive_N4204,common_paid_information,4204,8408,snr_7,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4204,common_paid_information,4204,8408,snr_13,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4204,common_paid_information,4204,8408,snr_19,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4204,common_paid_information,4204,8408,primary_1_4_7,100,900,20.513897436989676,19.86237665186988,21.1474167655574,0.5423424998215504,0.5060316011612822,0.577065159722542,0.15875383980779184,0.14830731345966663,0.16946974516085656,0.9024934788544974,0.8932558833443455,0.9114816798170408
arithmetic_adaptive_N4204,common_paid_information,4204,8408,high_13_19,100,600,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4498,common_paid_information,4498,8996,snr_1,100,300,19.336008701324467,18.65539513611794,20.012662349224097,0.4973326727747917,0.45912561298534277,0.5344322352285187,0.1939302665553987,0.18025125039725873,0.20786796906714633,0.8693926572799683,0.8521808236688376,0.8851087196966011
arithmetic_adaptive_N4498,common_paid_information,4498,8996,snr_4,100,300,21.236287167867022,20.5739448223114,21.869302784283953,0.5693871728579204,0.5339235533165435,0.6036032572823266,0.13632295162727437,0.12705475323243687,0.14594496243198715,0.9232179468870163,0.9161283882260323,0.9301959089785815
arithmetic_adaptive_N4498,common_paid_information,4498,8996,snr_7,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4498,common_paid_information,4498,8996,snr_13,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
arithmetic_adaptive_N4498,common_paid_information,4498,8996,snr_19,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160506784916,0.5343905623070895,0.6038470850065351,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
