method,method_complex_uses,control,control_complex_uses,scope,metric,equal_resource,source_images,mean_method_minus_control,ci_low,ci_high,interpretation
adjscc_c2,4096,wetok_r3,3060,snr_4,psnr_db,False,100,3.957039848963419,3.7648137183984094,4.153213228305181,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_4,ssim,False,100,0.1422816814482212,0.13275057461733616,0.15199367992207408,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_4,lpips,False,100,0.12177834840491415,0.10438145051058381,0.13992944640743848,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_4,dino,False,100,-0.2031560382246971,-0.22550992929562919,-0.1816280464616915,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_7,psnr_db,False,100,3.7491474533081055,3.5658428611755366,3.9304701555569967,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_7,ssim,False,100,0.13178450087706248,0.12117767659823094,0.1427571156571309,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_7,lpips,False,100,0.13285542715961735,0.11632133666162069,0.1497970934451248,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_7,dino,False,100,-0.191198259194692,-0.2118865066096187,-0.1714929443846146,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_13,psnr_db,False,100,3.610311756134034,3.416575914382934,3.802677303791046,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_13,ssim,False,100,0.12173670421044033,0.1097404429142674,0.13385575081408016,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_13,lpips,False,100,0.13914084387322265,0.12287337676482275,0.1558422179512369,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_13,dino,False,100,-0.1473253979285558,-0.1647014378060897,-0.13088679012656212,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_19,psnr_db,False,100,3.851773370107015,3.6287308537165335,4.076111274083454,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_19,ssim,False,100,0.12749559700489047,0.11521415571123357,0.13998719650010272,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_19,lpips,False,100,0.13605565014295282,0.1194824284190933,0.15304386370520415,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_19,dino,False,100,-0.12226791948080065,-0.13760165794938808,-0.10808528358737629,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,primary_1_4_7,psnr_db,False,100,3.880722466574775,3.6974971386591577,4.066489552497864,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,primary_1_4_7,ssim,False,100,0.13989075587855446,0.13058687059746843,0.14931402787317835,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,primary_1_4_7,lpips,False,100,0.11993652104503578,0.10261491522938013,0.13784808158336417,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,primary_1_4_7,dino,False,100,-0.1800306757622295,-0.20164585159325765,-0.1590612447019667,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,high_13_19,psnr_db,False,100,3.7310425631205244,3.5235885010560355,3.93910503768921,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,high_13_19,ssim,False,100,0.12461615060766539,0.11243740737810731,0.13690768037239712,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,high_13_19,lpips,False,100,0.13759824700808776,0.12117239362859011,0.1544158584730079,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,high_13_19,dino,False,100,-0.13479665870467825,-0.15120139830186966,-0.11958547411859038,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_1,psnr_db,False,100,7.76057463645935,7.409171908855439,8.10758343712489,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_1,ssim,False,100,0.28226295308520394,0.2644986386264984,0.3002133041790996,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_1,lpips,False,100,0.031081114144374925,0.013716237461039175,0.04882719895647215,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_1,dino,False,100,-0.17891643196344376,-0.20369452728331092,-0.155006546087563,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_4,psnr_db,False,100,7.574400904973348,7.292338606278101,7.857194451888399,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_4,ssim,False,100,0.27782562226057056,0.2584158989017208,0.2976443901384871,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_4,lpips,False,100,0.028764070688436436,0.014515307250743108,0.04362092622819665,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_4,dino,False,100,-0.10296338498592378,-0.12284008373071752,-0.08439050080378852,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_7,psnr_db,False,100,7.220252933502196,6.985195484161378,7.45511808951696,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_7,ssim,False,100,0.2582188377777735,0.23855300072828933,0.2786955900179843,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_7,lpips,False,100,0.028794393036514526,0.017455419229653976,0.04075998219490672,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_7,dino,False,100,-0.06552574704090754,-0.07948661252856257,-0.052568645603954814,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_13,psnr_db,False,100,8.71910997390747,8.40065406783422,9.035881011645001,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_13,ssim,False,100,0.29633387009302775,0.2735997581655779,0.3198537787497042,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_13,lpips,False,100,-0.008776420978829264,-0.018867928474210198,0.0018124804051282497,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_13,dino,False,100,-0.010392519632975255,-0.021070922424395858,-0.0007729711184899049,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_19,psnr_db,False,100,9.350243644714354,8.978899657090508,9.726243708451587,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_19,ssim,False,100,0.309842915336291,0.2861822452309231,0.33430024199063585,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_19,lpips,False,100,-0.022878054572890202,-0.03245263366773723,-0.012822352690389381,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,snr_19,dino,False,100,0.00594796975453695,-0.003207064668337504,0.014445612142483407,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,primary_1_4_7,psnr_db,False,100,7.518409491644967,7.238041972663667,7.799918818791707,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,primary_1_4_7,ssim,False,100,0.2727691377078494,0.25403615592088974,0.2918437531614262,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,primary_1_4_7,lpips,False,100,0.02954652595644196,0.015465186027965197,0.04432018889750662,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,primary_1_4_7,dino,False,100,-0.11580185466342499,-0.133878432850043,-0.09868260688086354,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,high_13_19,psnr_db,False,100,9.034676809310913,8.68995385233561,9.379569297075275,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,high_13_19,ssim,False,100,0.30308839271465937,0.27990411955739075,0.3270766758484146,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,high_13_19,lpips,False,100,-0.01582723777585973,-0.025695955814172826,-0.005527129986051783,system_comparison_not_architecture_causality
adjscc_c4,8192,arithmetic_adaptive,3060,high_13_19,dino,False,100,-0.0022222749392191567,-0.01214331502964098,0.0068006038144230755,system_comparison_not_architecture_causality
adjscc_c4,8192,perceptual_deepjscc,3060,snr_1,psnr_db,False,100,2.5243807093302406,2.3875653740564986,2.661395452022554,system_comparison_not_architecture_causality
