method,complex_uses,scope,source_images,timing_rows,TX_mean_ms,RX_mean_ms,TX_p95_ms,RX_p95_ms,single_method_peak_allocated_MiB,communication_parameters,NFE_mean,scope_note
raw_adaptive_N4204,4204,snr_19,32,96,10.805262166589577,59.81469481260623,10.922717243374791,60.47520426363917,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4204,4204,primary_1_4_7,32,288,10.483647549436784,59.644982777879505,10.937291399750393,60.38087175547844,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4204,4204,high_13_19,32,192,10.804500600594716,59.839474973462835,10.922070514061488,60.50439180689864,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,snr_1,32,96,9.828298289600449,59.20371546047439,9.913033747579902,60.24893249559682,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,snr_4,32,96,10.802442602046844,59.82461626384369,10.933006007689983,60.300442259176634,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,snr_7,32,96,10.81323949953609,59.893760843806376,10.958775761537254,60.775528494559694,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,snr_13,32,96,10.803041520072535,59.8697722198267,10.927063740382437,60.479873267468065,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,snr_19,32,96,10.81123862604727,59.85770361409474,10.923829751845915,60.69920626759995,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,primary_1_4_7,32,288,10.481326797061127,59.64069752270815,10.937698499765247,60.46021490910789,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4498,4498,high_13_19,32,192,10.807140073059903,59.86373791696072,10.926596338686068,60.643868951592594,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
