method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,checkpoint_sha256,psnr_db,lpips_alex,dino_cosine
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.325651168823242,0.09779629111289978,0.8274728059768677
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.357646942138672,0.09679082036018372,0.81111741065979
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.383056640625,0.09562970697879791,0.8329164385795593
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.429222106933594,0.09396202862262726,0.8297120332717896
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.42597770690918,0.09398099035024643,0.8401750326156616
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.470590591430664,0.09491275995969772,0.8374285697937012
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.383291244506836,0.0952392965555191,0.8352147936820984
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.423982620239258,0.0951741486787796,0.817384660243988
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.413249969482422,0.09461712092161179,0.8390588760375977
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.463916778564453,0.09288591146469116,0.8315644264221191
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.119640350341797,0.32397541403770447,0.7531130313873291
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.152498245239258,0.3193342089653015,0.706229567527771
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.478113174438477,0.30012354254722595,0.7661741971969604
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,17.527835845947266,0.30082273483276367,0.7608051896095276
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.784177780151367,0.37905174493789673,0.32818442583084106
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,True,False,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,16.806968688964844,0.37585529685020447,0.3284118175506592
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.095043182373047,0.24852466583251953,0.8107656836509705
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.145334243774414,0.24841773509979248,0.8115153908729553
original_residual_control,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.12488555908203,0.24825327098369598,0.8633931875228882
predicted_innovation_candidate,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,18.185882568359375,0.24880270659923553,0.861968994140625
