method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,7.0,2002,4084,8168,1,1,True,117,2047.9998779296875,19.961061477661133,0.17288225889205933,0.8490254282951355
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,7.0,2003,4084,8168,1,1,True,120,2048.0,19.9421329498291,0.17745384573936462,0.8550583124160767
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,7.0,2003,4084,8168,1,1,True,117,2047.9998779296875,19.960906982421875,0.17627424001693726,0.8559054136276245
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,13.0,2001,4084,8168,1,1,True,120,2048.0,20.137672424316406,0.16890878975391388,0.8948055505752563
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,13.0,2001,4084,8168,1,1,True,117,2047.9998779296875,20.14478874206543,0.16867303848266602,0.8954018950462341
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,13.0,2002,4084,8168,1,1,True,120,2048.0,20.133655548095703,0.16865742206573486,0.8698834776878357
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,13.0,2002,4084,8168,1,1,True,117,2047.9998779296875,20.140554428100586,0.16846594214439392,0.870995283126831
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,13.0,2003,4084,8168,1,1,True,120,2048.0,20.134889602661133,0.1687808781862259,0.8735597729682922
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,13.0,2003,4084,8168,1,1,True,117,2047.9998779296875,20.142040252685547,0.16845828294754028,0.8744604587554932
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,19.0,2001,4084,8168,1,1,True,120,2048.0,20.193260192871094,0.1668088585138321,0.8967252969741821
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,19.0,2001,4084,8168,1,1,True,117,2047.9998779296875,20.19586753845215,0.1667037308216095,0.8968737125396729
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,19.0,2002,4084,8168,1,1,True,120,2048.0,20.189926147460938,0.1671367585659027,0.8849947452545166
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,19.0,2002,4084,8168,1,1,True,117,2047.9998779296875,20.19251251220703,0.16708405315876007,0.8854851722717285
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,19.0,2003,4084,8168,1,1,True,120,2048.0,20.193492889404297,0.16700471937656403,0.8872601389884949
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,19.0,2003,4084,8168,1,1,True,117,2047.9998779296875,20.19613265991211,0.16693219542503357,0.887767493724823
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,1.0,2001,4084,8168,1,0,True,110,2047.999755859375,20.442623138427734,0.18962450325489044,0.8136821389198303
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,1.0,2001,4084,8168,1,0,True,106,2047.9998779296875,19.997055053710938,0.20055325329303741,0.7869611978530884
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,1.0,2002,4084,8168,1,0,True,110,2047.999755859375,20.41552734375,0.23378616571426392,0.8639287948608398
residual,83,n04392985/ILSVRC2012_val_00029362_n04392985,1.0,2002,4084,8168,1,0,True,106,2047.9998779296875,20.012235641479492,0.25910279154777527,0.8383036851882935
source,83,n04392985/ILSVRC2012_val_00029362_n04392985,1.0,2003,4084,8168,1,0,True,110,2047.999755859375,20.844707489013672,0.19387762248516083,0.897649884223938
