method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine,decoder_sha256,protocol_id,model_context_sha256
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.728946685791016,0.11718889325857162,0.7400219440460205,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,136,2048.0,21.83038902282715,0.11458277702331543,0.7701777815818787,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.84004020690918,0.11452645063400269,0.7672483921051025,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,136,2048.0,21.812397003173828,0.11488176882266998,0.7391124367713928,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.823701858520508,0.11471157521009445,0.7390761375427246,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,136,2048.0,21.806373596191406,0.11619745194911957,0.7418981790542603,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.817623138427734,0.11608374118804932,0.7418085336685181,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,136,2048.0,21.858510971069336,0.11478305608034134,0.7563278675079346,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,1,1,True,114,2047.999755859375,21.860464096069336,0.11482112109661102,0.7542040348052979,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,136,2048.0,21.84938621520996,0.11463018506765366,0.7388938665390015,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,1,1,True,114,2047.999755859375,21.85247230529785,0.11460372060537338,0.7386484146118164,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,136,2048.0,21.843456268310547,0.11548279970884323,0.7404261827468872,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,1,1,True,114,2047.999755859375,21.847116470336914,0.11536471545696259,0.7399718165397644,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,1,0,True,194,2047.9998779296875,16.271881103515625,0.3114619851112366,0.850683331489563,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,1,0,True,172,2047.999755859375,16.04611587524414,0.3268667161464691,0.8353338241577148,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,1,0,True,194,2047.9998779296875,16.519067764282227,0.30147936940193176,0.6020088195800781,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,1,0,True,172,2047.999755859375,16.27728843688965,0.31417927145957947,0.6561055183410645,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,1,0,True,194,2047.9998779296875,15.550786972045898,0.402618408203125,0.36603936553001404,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,1,0,True,172,2047.999755859375,15.361837387084961,0.4301002025604248,0.3180292546749115,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,1,1,True,194,2047.9998779296875,17.3528995513916,0.2517731785774231,0.8652005195617676,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,1,1,True,172,2047.999755859375,17.389095306396484,0.2485506683588028,0.8688968420028687,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,1,1,True,194,2047.9998779296875,17.32779312133789,0.25657936930656433,0.8594110012054443,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,1,1,True,172,2047.999755859375,17.361988067626953,0.2527551054954529,0.864048957824707,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,1,1,True,194,2047.9998779296875,17.296749114990234,0.2529379725456238,0.8661901950836182,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,1,1,True,172,2047.999755859375,17.339113235473633,0.24979029595851898,0.8665800094604492,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,1,1,True,194,2047.9998779296875,17.4408016204834,0.24506400525569916,0.8726655840873718,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
random_residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,1,1,True,172,2047.999755859375,17.465778350830078,0.24313539266586304,0.8751257658004761,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:32_control_992_measurement:strict,20100186e289666679cb151541ddb854f7b1bd485e0a92733efaa966985d0435
