method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
pure_continuous,55,1.0,2001,1,1,7.399925962090492,11.156372958794236,18.55629892088473
full_tx_control,55,1.0,2001,1,2,111.54006700962782,113.179562962614,224.71962997224182
full_tx_control,55,4.0,2001,0,0,111.0976479249075,113.36545704398304,224.46310496889055
light_tx,55,4.0,2001,0,1,10.976120945997536,113.58465999364853,124.56078093964607
pure_continuous,55,4.0,2001,0,2,7.438978995196521,11.146496050059795,18.585475045256317
light_tx,55,4.0,2001,1,0,11.00108795799315,113.51544701028615,124.5165349682793
pure_continuous,55,4.0,2001,1,1,7.393629988655448,11.208629002794623,18.60225899145007
full_tx_control,55,4.0,2001,1,2,111.07764195185155,113.33120905328542,224.40885100513697
full_tx_control,55,7.0,2001,0,0,110.98433402366936,113.37846296373755,224.3627969874069
light_tx,55,7.0,2001,0,1,10.98986400756985,113.50152897648513,124.49139298405498
pure_continuous,55,7.0,2001,0,2,7.420042995363474,11.203872971236706,18.62391596660018
light_tx,55,7.0,2001,1,0,10.954050929285586,113.91922598704696,124.87327691633254
pure_continuous,55,7.0,2001,1,1,7.43486697319895,11.209859047085047,18.644726020283997
full_tx_control,55,7.0,2001,1,2,111.41812789719552,113.76877699512988,225.1869048923254
full_tx_control,55,13.0,2001,0,0,110.99360999651253,113.18309395574033,224.17670395225286
light_tx,55,13.0,2001,0,1,10.986476088874042,114.10301097203046,125.0894870609045
pure_continuous,55,13.0,2001,0,2,7.411884958855808,11.207423056475818,18.619308015331626
light_tx,55,13.0,2001,1,0,11.03869208600372,113.59206889756024,124.63076098356396
pure_continuous,55,13.0,2001,1,1,7.408986915834248,11.178522021509707,18.587508937343955
full_tx_control,55,13.0,2001,1,2,110.8152789529413,113.6777070350945,224.4929859880358
full_tx_control,55,19.0,2001,0,0,112.43785289116204,116.83658696711063,229.27443985827267
light_tx,55,19.0,2001,0,1,11.312268092297018,114.9708500597626,126.28311815205961
pure_continuous,55,19.0,2001,0,2,7.409677025862038,11.171872029080987,18.581549054943025
light_tx,55,19.0,2001,1,0,11.009456007741392,113.40645200107247,124.41590800881386
pure_continuous,55,19.0,2001,1,1,7.41511199157685,11.238676030188799,18.65378802176565
full_tx_control,55,19.0,2001,1,2,111.2049319781363,115.5488359509036,226.7537679290399
pure_continuous,66,1.0,2001,0,0,7.419520989060402,11.21900905855,18.638530047610402
