method,source_index,image_id,snr_db,seed,N,E,checkpoint_sha256,decoder_sha256,protocol_id,normalized_latent,header_ok,body_crc_ok,psnr_db,lpips_alex,dino_cosine
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.48948538303375244,1,0,21.1231632232666,0.17233248054981232,0.753614068031311
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.428320050239563,1,not_applicable,22.4137020111084,0.12634383141994476,0.7796677350997925
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.4726587235927582,1,0,21.54108428955078,0.1298542469739914,0.671014130115509
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.4750271439552307,1,0,21.401039123535156,0.13273824751377106,0.7400819659233093
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.44190651178359985,1,not_applicable,22.195947647094727,0.11778625845909119,0.7356622815132141
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.49236857891082764,1,0,21.56731414794922,0.13627636432647705,0.765654981136322
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.49405771493911743,1,0,21.46662139892578,0.13308237493038177,0.7683706879615784
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.26093819737434387,1,not_applicable,22.928436279296875,0.08314993232488632,0.8511662483215332
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.4134517312049866,1,1,22.14432716369629,0.10364469140768051,0.8301857709884644
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.41918668150901794,1,1,22.07172203063965,0.10448166728019714,0.7911995053291321
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.2576650381088257,1,not_applicable,23.06756591796875,0.09805120527744293,0.8766120076179504
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.41528117656707764,1,1,22.00212287902832,0.10758579522371292,0.779790461063385
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.42156970500946045,1,1,21.937843322753906,0.11211469024419785,0.786540150642395
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.2656122148036957,1,not_applicable,22.885387420654297,0.09253054857254028,0.7828529477119446
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.41598010063171387,1,1,22.139984130859375,0.1039685532450676,0.7985546588897705
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.4215479791164398,1,1,22.08244514465332,0.10500993579626083,0.8091545104980469
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.1718771755695343,1,not_applicable,23.362140655517578,0.07261667400598526,0.8799500465393066
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.39247259497642517,1,1,22.297588348388672,0.09923969954252243,0.8334958553314209
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.39791059494018555,1,1,22.222301483154297,0.09941963106393814,0.8190678358078003
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.16970011591911316,1,not_applicable,23.47974967956543,0.08383125811815262,0.8874562382698059
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.3932102918624878,1,1,22.168872833251953,0.10033818334341049,0.7961033582687378
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.39914417266845703,1,1,22.097740173339844,0.10479022562503815,0.8089704513549805
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.1745685338973999,1,not_applicable,23.324861526489258,0.0788712427020073,0.8471599221229553
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.3942461907863617,1,1,22.27745246887207,0.09797178208827972,0.7986213564872742
light_tx,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.3995268940925598,1,1,22.222108840942383,0.09922708570957184,0.8090125322341919
