method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,4,4101,0.00647345557808876,0.12687954306602478,0.42408543825149536,0.023402264341711998,0.019161410629749298,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,4,4101,0.008812174201011658,0.15523982048034668,0.9294108152389526,0.033630263060331345,0.024336155503988266,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,4,4101,0.005084185861051083,0.09653440862894058,0.38875076174736023,0.018625134602189064,0.014737626537680626,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,4,4101,0.010619830340147018,0.0998164489865303,0.4660855233669281,0.02526232972741127,0.02060147561132908,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,4,4101,0.007365035824477673,0.12445150315761566,0.6509825587272644,0.026320012286305428,0.019810186699032784,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,4,4101,0.00964656937867403,0.13466453552246094,0.4983978271484375,0.02809700183570385,0.02311302348971367,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,4,4101,0.008779647760093212,0.09712143242359161,0.3591814935207367,0.02208360657095909,0.01849179156124592,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,4102,0.006269528996199369,0.15488041937351227,0.5637426376342773,0.02739499695599079,0.021757571026682854,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,4102,0.009932233951985836,0.19033604860305786,0.6122069358825684,0.03508790582418442,0.028965838253498077,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,4102,0.004031525459140539,0.12071682512760162,0.4430370628833771,0.020533578470349312,0.01610320806503296,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,4,4102,0.0020777680911123753,0.10567182302474976,0.3632439970970154,0.016277389600872993,0.012644950300455093,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,4,4102,0.004222830757498741,0.13000911474227905,0.44747981429100037,0.021698540076613426,0.017223741859197617,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,4,4102,0.002384145511314273,0.10660957545042038,0.2998608648777008,0.016043711453676224,0.013045103289186954,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,4,4102,0.008647552691400051,0.1838827133178711,0.5370713472366333,0.03240653872489929,0.027035824954509735,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,4,4102,0.01349114254117012,0.18119536340236664,0.8191345930099487,0.03980202600359917,0.031610678881406784,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,4,4102,0.012675194069743156,0.24308878183364868,0.7100628614425659,0.04408469796180725,0.036984071135520935,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,4,4102,0.005010586231946945,0.11492503434419632,0.42181485891342163,0.02072123810648918,0.016503090038895607,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,4,4102,0.007924884557723999,0.17034611105918884,0.9214972853660583,0.034174468368291855,0.024959495291113853,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,4,4102,0.006499934010207653,0.0943349078297615,0.3975681960582733,0.019909106194972992,0.01593342423439026,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,4,4102,0.009766822680830956,0.09263695031404495,0.46962088346481323,0.023726727813482285,0.01903051882982254,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,4,4102,0.008385318331420422,0.1278476119041443,0.6498271226882935,0.02766835130751133,0.021170079708099365,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,4,4102,0.009822739288210869,0.11554671823978424,0.4992113709449768,0.026369523257017136,0.021377410739660263,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,4,4102,0.007817845791578293,0.09563617408275604,0.35706213116645813,0.02095208503305912,0.017381463199853897,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,4103,0.00642875861376524,0.15901216864585876,0.5616563558578491,0.027946539223194122,0.02232997491955757,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,4103,0.009846659377217293,0.19378739595413208,0.6109309792518616,0.03533471003174782,0.02922539971768856,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,4103,0.005320838652551174,0.13104033470153809,0.4352846145629883,0.02277771756052971,0.018424872308969498,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,4,4103,0.0017396488692611456,0.109690360724926,0.3683707118034363,0.01639239303767681,0.012708685360848904,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,4,4103,0.004596438724547625,0.13269604742527008,0.4455474615097046,0.022321518510580063,0.017866043373942375,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,4,4103,0.0027895027305930853,0.1022816076874733,0.30309250950813293,0.01604858785867691,0.013017663732171059,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,4,4103,0.008699708618223667,0.1871154010295868,0.5394469499588013,0.03280571848154068,0.02741124853491783,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,4,4103,0.013732153922319412,0.18181893229484558,0.8192380666732788,0.040106430649757385,0.03191404789686203,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,4,4103,0.013818594627082348,0.2321268767118454,0.7117225527763367,0.044148508459329605,0.03703128173947334,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,4,4103,0.005550266709178686,0.12030118703842163,0.42883336544036865,0.021868720650672913,0.017580386251211166,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,4,4103,0.008664323948323727,0.1460992693901062,0.9196077585220337,0.032470326870679855,0.023274250328540802,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,4,4103,0.006019379012286663,0.09241249412298203,0.3927859365940094,0.01918848790228367,0.015260628424584866,1,not_applicable
