method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
residual,32,13.0,"2001,2002,2003",20.519685745239258,0.16186032195885977,0.9325554966926575
residual,32,19.0,"2001,2002,2003",20.5736821492513,0.16087154050668082,0.9363681276639303
residual,33,1.0,"2001,2002,2003",18.11753972371419,0.2420551429192225,0.767060657342275
residual,33,4.0,"2001,2002,2003",20.11637242635091,0.16507956385612488,0.8820052146911621
residual,33,7.0,"2001,2002,2003",20.22939173380534,0.16415628294150034,0.8854876160621643
residual,33,13.0,"2001,2002,2003",20.344088236490887,0.16388608515262604,0.8872899413108826
residual,33,19.0,"2001,2002,2003",20.376802444458008,0.16336956123510996,0.8901452620824178
residual,34,1.0,"2001,2002,2003",17.42041269938151,0.2519881973663966,0.7761192719141642
residual,34,4.0,"2001,2002,2003",22.778390248616535,0.11737605432669322,0.8610206643740336
residual,34,7.0,"2001,2002,2003",22.881982803344727,0.11498816063006718,0.8681264917055765
residual,34,13.0,"2001,2002,2003",22.975526173909504,0.11261202891667683,0.8750337759653727
residual,34,19.0,"2001,2002,2003",22.99729347229004,0.11208280424276988,0.8770190874735514
residual,35,1.0,"2001,2002,2003",15.172237078348795,0.3334871133168538,0.7147813638051351
residual,35,4.0,"2001,2002,2003",16.48125394185384,0.23323564231395721,0.8820717732111613
residual,35,7.0,"2001,2002,2003",16.54726791381836,0.23263120154539743,0.8844683567682902
residual,35,13.0,"2001,2002,2003",16.615637461344402,0.23163400093714395,0.8865129748980204
residual,35,19.0,"2001,2002,2003",16.634410222371418,0.23066440721352896,0.887552817662557
residual,36,1.0,"2001,2002,2003",19.358781496683758,0.20878224074840546,0.7777096827824911
residual,36,4.0,"2001,2002,2003",23.090232213338215,0.12227953970432281,0.906670888264974
residual,36,7.0,"2001,2002,2003",23.217431386311848,0.1194583351413409,0.9114143053690592
residual,36,13.0,"2001,2002,2003",23.34602419535319,0.11624306192000707,0.9126491745313009
residual,36,19.0,"2001,2002,2003",23.381879170735676,0.11539149284362793,0.9116616249084473
residual,37,1.0,"2001,2002,2003",18.148597717285156,0.24322019517421722,0.8382280270258585
residual,37,4.0,"2001,2002,2003",22.86032994588216,0.12701480090618134,0.9104217688242594
residual,37,7.0,"2001,2002,2003",23.126571655273438,0.12326353540023167,0.9128214319547018
residual,37,13.0,"2001,2002,2003",23.604629516601562,0.11845401426156361,0.9138843218485514
residual,37,19.0,"2001,2002,2003",23.716275533040363,0.1174712801973025,0.9153262376785278
residual,38,1.0,"2001,2002,2003",16.963093439737957,0.3131083548069,0.8435972929000854
residual,38,4.0,"2001,2002,2003",21.381104787190754,0.1406076898177465,0.946146825949351
residual,38,7.0,"2001,2002,2003",21.544153213500977,0.13644754886627197,0.9467642505963644
residual,38,13.0,"2001,2002,2003",21.71009890238444,0.1330963373184204,0.9472751220067342
residual,38,19.0,"2001,2002,2003",21.761035283406574,0.13205606242020926,0.9475790659586588
residual,39,1.0,"2001,2002,2003",14.615625381469727,0.3317389190196991,0.6368817090988159
residual,39,4.0,"2001,2002,2003",18.73808479309082,0.1678294042746226,0.844226062297821
