source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode
3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '629bd474c18d1cb55af6587b5a805d8b999a277424c7e36d5f15070db8390106')",raw_N3572_m7_D0,13.565649032592773,0.2806093096733093,0.8263841271400452,D0,reliability,7
3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '0f5a002801c663eab3ed32718c4d17e1abe44c3e805b884d23bc769c4c82c79d')",raw_N3572_m8_D0,14.546270370483398,0.2275409698486328,0.8760709762573242,D0,reliability,8
3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '0f5a002801c663eab3ed32718c4d17e1abe44c3e805b884d23bc769c4c82c79d')",raw_N3572_m8_D0,14.546270370483398,0.2275409698486328,0.8760709762573242,D0,reliability,8
3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,3572,7144,raw,8,8,1,1,1,3060,0,,"('raw', '0f5a002801c663eab3ed32718c4d17e1abe44c3e805b884d23bc769c4c82c79d')",raw_N3572_m8_D0,14.546270370483398,0.2275409698486328,0.8760709762573242,D0,reliability,8
3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603011012077332,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603011012077332,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', '0bfcac72a3e3c136dba45e3544cfd94856f79559014ecd7dbee74997deb45a83')",raw_N3572_m9_D0,15.704376220703125,0.19603008031845093,0.9049654603004456,D0,reliability,9
4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '9ccda56d65c2080e64bd409049f29b5bfaf74f392dfb74771ba0c90a77b74326')",raw_N3572_m7_D0,15.716838836669922,0.29692456126213074,0.8595544695854187,D0,reliability,7
4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '9ccda56d65c2080e64bd409049f29b5bfaf74f392dfb74771ba0c90a77b74326')",raw_N3572_m7_D0,15.716838836669922,0.29692456126213074,0.8595544695854187,D0,reliability,7
