family,budget,renderer,policy,source_index,snr_db,psnr_db,lpips_alex,dino_cosine,selected_mode
arithmetic,3572,D0,goodput,45,1.0,19.538785934448242,0.27220863103866577,0.8079262971878052,7
arithmetic,3572,D0,goodput,45,4.0,22.25793202718099,0.1804447521766027,0.9084067344665527,9
arithmetic,3572,D0,goodput,45,7.0,23.37510108947754,0.15266001224517822,0.929715096950531,9
arithmetic,3572,D0,goodput,45,13.0,23.37510108947754,0.15266001224517822,0.929715096950531,9
arithmetic,3572,D0,goodput,45,19.0,23.37510108947754,0.15266001224517822,0.929715096950531,9
arithmetic,3572,D0,goodput,46,1.0,20.465560913085938,0.23968201875686646,0.782116174697876,7
arithmetic,3572,D0,goodput,46,4.0,20.720116933186848,0.26413292189439136,0.7626268664995829,9
arithmetic,3572,D0,goodput,46,7.0,23.670806884765625,0.14864814281463623,0.882037878036499,9
arithmetic,3572,D0,goodput,46,13.0,23.670806884765625,0.14864814281463623,0.882037878036499,9
arithmetic,3572,D0,goodput,46,19.0,23.670806884765625,0.14864814281463623,0.882037878036499,9
arithmetic,3572,D0,goodput,47,1.0,18.808366775512695,0.2169808695713679,0.8083840608596802,7
arithmetic,3572,D0,goodput,47,4.0,21.78347396850586,0.11325586338837941,0.8802667260169983,9
arithmetic,3572,D0,goodput,47,7.0,21.78347396850586,0.11325586090485255,0.8802667260169983,9
arithmetic,3572,D0,goodput,47,13.0,21.78347396850586,0.11325586090485255,0.8802667260169983,9
arithmetic,3572,D0,goodput,47,19.0,21.78347396850586,0.11325586338837941,0.8802667260169983,9
arithmetic,3572,D0,goodput,48,1.0,15.877182006835938,0.19687993824481964,0.9016625285148621,7
arithmetic,3572,D0,goodput,48,4.0,16.56033738454183,0.20660473903020224,0.8091243704160055,9
arithmetic,3572,D0,goodput,48,7.0,18.837018966674805,0.12183482944965363,0.9091342687606812,9
arithmetic,3572,D0,goodput,48,13.0,18.837018966674805,0.12183482944965363,0.9091342687606812,9
arithmetic,3572,D0,goodput,48,19.0,18.837018966674805,0.12183482944965363,0.9091342687606812,9
arithmetic,3572,D0,goodput,49,1.0,17.350587844848633,0.2540036042531331,0.7763767242431641,7
arithmetic,3572,D0,goodput,49,4.0,20.770462036132812,0.12565234303474426,0.901727557182312,9
arithmetic,3572,D0,goodput,49,7.0,20.770462036132812,0.12565234303474426,0.901727557182312,9
arithmetic,3572,D0,goodput,49,13.0,20.770462036132812,0.12565234303474426,0.901727557182312,9
arithmetic,3572,D0,goodput,49,19.0,20.770462036132812,0.12565234303474426,0.901727557182312,9
arithmetic,3572,D0,goodput,50,1.0,15.606388092041016,0.2621653079986572,0.9055863618850708,7
arithmetic,3572,D0,goodput,50,4.0,17.194791158040363,0.20157347371180853,0.8390969634056091,9
arithmetic,3572,D0,goodput,50,7.0,20.186439514160156,0.12232980877161026,0.9184411764144897,9
arithmetic,3572,D0,goodput,50,13.0,20.186439514160156,0.12232980877161026,0.9184411764144897,9
arithmetic,3572,D0,goodput,50,19.0,20.186439514160156,0.12232980877161026,0.9184411764144897,9
arithmetic,3572,D0,goodput,51,1.0,17.828067779541016,0.2686525583267212,0.8551028370857239,7
arithmetic,3572,D0,goodput,51,4.0,22.031177520751953,0.14448134104410806,0.9072165489196777,9
arithmetic,3572,D0,goodput,51,7.0,22.031177520751953,0.14448134104410806,0.9072165489196777,9
arithmetic,3572,D0,goodput,51,13.0,22.031177520751953,0.14448134104410806,0.9072165489196777,9
arithmetic,3572,D0,goodput,51,19.0,22.031177520751953,0.1444813460111618,0.9072165489196777,9
arithmetic,3572,D0,goodput,52,1.0,15.455810546875,0.2271814544995626,0.9452223181724548,7
arithmetic,3572,D0,goodput,52,4.0,17.904239654541016,0.14342719316482544,0.975189208984375,9
arithmetic,3572,D0,goodput,52,7.0,17.904239654541016,0.14342719316482544,0.975189208984375,9
arithmetic,3572,D0,goodput,52,13.0,17.904239654541016,0.14342719316482544,0.975189208984375,9
arithmetic,3572,D0,goodput,52,19.0,17.904239654541016,0.14342719316482544,0.975189208984375,9
arithmetic,3572,D0,goodput,53,1.0,15.555342674255371,0.2916702628135681,0.7441233396530151,7
arithmetic,3572,D0,goodput,53,4.0,19.642649332682293,0.15367440382639566,0.8533423542976379,9
arithmetic,3572,D0,goodput,53,7.0,19.734495162963867,0.1514616310596466,0.8568370342254639,9
arithmetic,3572,D0,goodput,53,13.0,19.734495162963867,0.1514616310596466,0.8568370342254639,9
arithmetic,3572,D0,goodput,53,19.0,19.734495162963867,0.1514616310596466,0.8568370342254639,9
arithmetic,3572,D0,goodput,54,1.0,19.193233489990234,0.16564727326234183,0.8953783512115479,7
arithmetic,3572,D0,goodput,54,4.0,20.711369514465332,0.1803999145825704,0.8264302015304565,9
arithmetic,3572,D0,goodput,54,7.0,23.318748474121094,0.0722716177503268,0.9385714530944824,9
arithmetic,3572,D0,goodput,54,13.0,23.318748474121094,0.0722716177503268,0.9385714530944824,9
arithmetic,3572,D0,goodput,54,19.0,23.318748474121094,0.0722716177503268,0.9385714530944824,9
