source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode,seed,preprocessing_id,seed_count,seed_keys,budget
7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4298,4298,,"('arithmetic', '5aff8b9dd0d74729d08a7840deff57c539265a52555dd9f8f9d31503fdeb48f4')",arithmetic_N3572_m9_D0,15.116445541381836,0.22848372161388397,0.8559284210205078,D0,goodput,9,2001,,3,"2001,2002,2003",3572
8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1668,1668,,"('arithmetic', 'ee4670ded0acca59f3b02dec3c5febadbe6ac0cdfbfae640823c5413c4b6a706')",arithmetic_N3572_m7_D0,13.673247337341309,0.28471553325653076,0.9095737338066101,D0,goodput,7,2001,,3,"2001,2002,2003",3572
8,n01843383/ILSVRC2012_val_00005901_n01843383,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4325,4325,,"('arithmetic', '9b0e3d81d181e17c0ec0b55f25902185955bb20f73e18ff7265420609ec81975')",arithmetic_N3572_m9_D0,15.25265375773112,0.21748942136764526,0.908765971660614,D0,goodput,9,2001,,3,"2001,2002,2003",3572
8,n01843383/ILSVRC2012_val_00005901_n01843383,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4325,4325,,"('arithmetic', '9b0e3d81d181e17c0ec0b55f25902185955bb20f73e18ff7265420609ec81975')",arithmetic_N3572_m9_D0,16.03847312927246,0.18463578820228577,0.9089347124099731,D0,goodput,9,2001,,3,"2001,2002,2003",3572
8,n01843383/ILSVRC2012_val_00005901_n01843383,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4325,4325,,"('arithmetic', '9b0e3d81d181e17c0ec0b55f25902185955bb20f73e18ff7265420609ec81975')",arithmetic_N3572_m9_D0,16.03847312927246,0.18463578820228577,0.9089347124099731,D0,goodput,9,2001,,3,"2001,2002,2003",3572
8,n01843383/ILSVRC2012_val_00005901_n01843383,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4325,4325,,"('arithmetic', '9b0e3d81d181e17c0ec0b55f25902185955bb20f73e18ff7265420609ec81975')",arithmetic_N3572_m9_D0,16.03847312927246,0.18463578820228577,0.9089347124099731,D0,goodput,9,2001,,3,"2001,2002,2003",3572
9,n01860187/ILSVRC2012_val_00021594_n01860187,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1552,1552,,"('arithmetic', '07456599f0c595466a9bdec0fceae38607ca8a773cd806c0d5ebcdc97d5e8b6d')",arithmetic_N3572_m7_D0,14.987019538879395,0.24326059222221375,0.8603636026382446,D0,goodput,7,2001,,3,"2001,2002,2003",3572
9,n01860187/ILSVRC2012_val_00021594_n01860187,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4180,4180,,"('arithmetic', '63e0900a183bee4ae9a8aadc45e3b9b5bfe6e27599e2a30bb8a53e76e29252cd')",arithmetic_N3572_m9_D0,15.52823289235433,0.20055747528870901,0.8995093107223511,D0,goodput,9,2001,,3,"2001,2002,2003",3572
9,n01860187/ILSVRC2012_val_00021594_n01860187,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4180,4180,,"('arithmetic', '63e0900a183bee4ae9a8aadc45e3b9b5bfe6e27599e2a30bb8a53e76e29252cd')",arithmetic_N3572_m9_D0,16.46030616760254,0.15909311175346375,0.9155489206314087,D0,goodput,9,2001,,3,"2001,2002,2003",3572
9,n01860187/ILSVRC2012_val_00021594_n01860187,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4180,4180,,"('arithmetic', '63e0900a183bee4ae9a8aadc45e3b9b5bfe6e27599e2a30bb8a53e76e29252cd')",arithmetic_N3572_m9_D0,16.46030616760254,0.15909311175346375,0.9155489206314087,D0,goodput,9,2001,,3,"2001,2002,2003",3572
