population,scope,method,control,metric,source_images,selection_data,gain,ci_low,ci_high
development,4.0,arithmetic_quality,old_raw_adaptive,lpips,100,calibration_only,-7.733901341756139e-06,-5.906701087951674e-05,3.5865306854248326e-05
development,4.0,arithmetic_quality,old_raw_adaptive,dino,100,calibration_only,-1.9544760386148718e-05,-0.00013581752777099497,7.718324661254883e-05
development,4.0,arithmetic_quality,r2__full_grid_innovation,psnr_db,100,calibration_only,-1.3485580666859946,-1.4716625502109528,-1.2219166117509201
development,4.0,arithmetic_quality,r2__full_grid_innovation,lpips,100,calibration_only,-0.03360314297179381,-0.03909020410074542,-0.02835639658880731
development,4.0,arithmetic_quality,r2__full_grid_innovation,dino,100,calibration_only,0.09484077930450441,0.08096970375378927,0.10916395066181821
development,4.0,arithmetic_quality,r3__full_grid_prediction_features,psnr_db,100,calibration_only,-1.180105202992757,-1.3228230262597402,-1.0319242559274038
development,4.0,arithmetic_quality,r3__full_grid_prediction_features,lpips,100,calibration_only,-0.0330075154453516,-0.038207475159938144,-0.02798458043827365
development,4.0,arithmetic_quality,r3__full_grid_prediction_features,dino,100,calibration_only,0.09209973663091661,0.07893591336657604,0.10532663026203712
development,4.0,arithmetic_quality,perceptual_deepjscc,psnr_db,100,calibration_only,-4.759877506891886,-4.951122306187949,-4.571720337629319
development,4.0,arithmetic_quality,perceptual_deepjscc,lpips,100,calibration_only,-0.02134892716382941,-0.02943133917699258,-0.013372565132100141
development,4.0,arithmetic_quality,perceptual_deepjscc,dino,100,calibration_only,0.3284715406099955,0.301352063405017,0.3553738779872655
development,4.0,arithmetic_quality,wetok_8PSK_FEC,psnr_db,100,calibration_only,10.228755176862082,9.556891811569532,10.915096468567846
development,4.0,arithmetic_quality,wetok_8PSK_FEC,lpips,100,calibration_only,-0.5307402707822622,-0.5519207422711575,-0.5098107400480657
development,4.0,arithmetic_quality,wetok_8PSK_FEC,dino,100,calibration_only,0.8747443906978394,0.8595547134848311,0.888929459494034
development,5.0,raw_quality,raw_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,raw_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,raw_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,raw_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,raw_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,raw_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_goodput,psnr_db,100,calibration_only,-0.14168962478637684,-0.4415603222052256,0.17223562304178883
development,5.0,arithmetic_quality,arithmetic_goodput,lpips,100,calibration_only,-0.014331141368796428,-0.027191185999972122,-0.0023594276588410133
development,5.0,arithmetic_quality,arithmetic_goodput,dino,100,calibration_only,0.017379982968171444,0.0032321411520242777,0.032084128263096
development,5.0,raw_quality,arithmetic_quality,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,arithmetic_quality,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,raw_quality,arithmetic_quality,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_m7,psnr_db,100,calibration_only,1.5899243068695068,1.443390758752823,1.7374155850410462
development,5.0,arithmetic_quality,raw_m7,lpips,100,calibration_only,-0.056663017366081474,-0.06043956239335239,-0.05294396139495074
development,5.0,arithmetic_quality,raw_m7,dino,100,calibration_only,0.03982799470424652,0.031374502196907995,0.047763269782066346
development,5.0,arithmetic_quality,raw_m8,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_m8,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_m8,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_m9,psnr_db,100,calibration_only,2.848309946060181,2.4864026918411253,3.226319425185521
development,5.0,arithmetic_quality,raw_m9,lpips,100,calibration_only,-0.11401535691693424,-0.12454246417976295,-0.10369265555342039
development,5.0,arithmetic_quality,raw_m9,dino,100,calibration_only,0.18623673061529794,0.16487256744938592,0.20825027224499104
development,5.0,arithmetic_quality,arithmetic_m7,psnr_db,100,calibration_only,1.5899243068695068,1.443390758752823,1.7374155850410462
development,5.0,arithmetic_quality,arithmetic_m7,lpips,100,calibration_only,-0.056663017366081474,-0.06043956239335239,-0.05294396139495074
development,5.0,arithmetic_quality,arithmetic_m7,dino,100,calibration_only,0.03982799470424652,0.031374502196907995,0.047763269782066346
development,5.0,arithmetic_quality,arithmetic_m8,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_m8,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_m8,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,arithmetic_m9,psnr_db,100,calibration_only,-0.14168962478637684,-0.4415603222052256,0.17223562304178883
development,5.0,arithmetic_quality,arithmetic_m9,lpips,100,calibration_only,-0.014331141368796428,-0.027191185999972122,-0.0023594276588410133
development,5.0,arithmetic_quality,arithmetic_m9,dino,100,calibration_only,0.017379982968171444,0.0032321411520242777,0.032084128263096
development,5.0,arithmetic_quality,raw_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_quality,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_quality,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_quality,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,raw_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,old_raw_adaptive,psnr_db,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,old_raw_adaptive,lpips,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,old_raw_adaptive,dino,100,calibration_only,0.0,0.0,0.0
development,5.0,arithmetic_quality,r2__full_grid_innovation,psnr_db,100,calibration_only,-1.7455191167195638,-1.8613349138100945,-1.6277542392412818
development,5.0,arithmetic_quality,r2__full_grid_innovation,lpips,100,calibration_only,-0.014397232414533697,-0.019720179599399368,-0.009337032841052865
development,5.0,arithmetic_quality,r2__full_grid_innovation,dino,100,calibration_only,0.05450882504383723,0.043468864324192204,0.06562020513912042
development,5.0,arithmetic_quality,r3__full_grid_prediction_features,psnr_db,100,calibration_only,-1.6211327075958253,-1.7539983327388764,-1.483582353591919
development,5.0,arithmetic_quality,r3__full_grid_prediction_features,lpips,100,calibration_only,-0.012696753976245721,-0.017665182070496183,-0.007895405284439527
development,5.0,arithmetic_quality,r3__full_grid_prediction_features,dino,100,calibration_only,0.051533020337422686,0.041286986783146865,0.062058098971843716
development,5.0,arithmetic_quality,perceptual_deepjscc,psnr_db,100,calibration_only,-5.112696154912313,-5.31826356824239,-4.912041940768559
development,5.0,arithmetic_quality,perceptual_deepjscc,lpips,100,calibration_only,-0.018216947671025992,-0.026202726534878217,-0.010156078807233524
development,5.0,arithmetic_quality,perceptual_deepjscc,dino,100,calibration_only,0.2833239223062992,0.2564824198720356,0.310884383175522
development,5.0,arithmetic_quality,wetok_8PSK_FEC,psnr_db,100,calibration_only,10.207606163024902,9.549110269943872,10.885053616166113
development,5.0,arithmetic_quality,wetok_8PSK_FEC,lpips,100,calibration_only,-0.5290214589921136,-0.550265770712557,-0.50791662588669
development,5.0,arithmetic_quality,wetok_8PSK_FEC,dino,100,calibration_only,0.8729392535146325,0.857744107410894,0.8873821896580436
development,6.0,raw_quality,raw_reliability,psnr_db,100,calibration_only,0.7698022429148357,0.6299838458697005,0.9035603090922035
development,6.0,raw_quality,raw_reliability,lpips,100,calibration_only,-0.02287237133209904,-0.02695366965063537,-0.018885517527349297
development,6.0,raw_quality,raw_reliability,dino,100,calibration_only,0.013143284916877747,0.0058516614387432685,0.0207681852132082
development,6.0,raw_quality,raw_goodput,psnr_db,100,calibration_only,0.7698022429148357,0.6299838458697005,0.9035603090922035
development,6.0,raw_quality,raw_goodput,lpips,100,calibration_only,-0.02287237133209904,-0.02695366965063537,-0.018885517527349297
development,6.0,raw_quality,raw_goodput,dino,100,calibration_only,0.013143284916877747,0.0058516614387432685,0.0207681852132082
development,6.0,arithmetic_quality,arithmetic_reliability,psnr_db,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_reliability,lpips,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_reliability,dino,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_goodput,psnr_db,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_goodput,lpips,100,calibration_only,0.0,0.0,0.0
development,6.0,arithmetic_quality,arithmetic_goodput,dino,100,calibration_only,0.0,0.0,0.0
development,6.0,raw_quality,arithmetic_quality,psnr_db,100,calibration_only,-0.6200708357493083,-0.7798015877405801,-0.45453041950861606
development,6.0,raw_quality,arithmetic_quality,lpips,100,calibration_only,0.01284992763151725,0.0077381179860482605,0.017537446094055973
development,6.0,raw_quality,arithmetic_quality,dino,100,calibration_only,-0.01723922828833262,-0.022759589657187457,-0.011828193162878342
development,6.0,arithmetic_quality,raw_m7,psnr_db,100,calibration_only,2.9797973855336513,2.7266329133510596,3.2311947120030724
