population,scope,method,source_images,psnr_db,lpips,dino
development,transition_5_6,arithmetic_quality,100,20.386560331980387,0.1592801788045714,0.9049208982785544
development,transition_5_6,arithmetic_goodput,100,20.457405144373578,0.16644574948896962,0.8962309067944686
development,transition_5_6,old_raw_adaptive,100,20.076524914105732,0.16570514262033004,0.8963012841343879
development,transition_5_6,r2__full_grid_innovation,100,21.63176241079967,0.1832100538009157,0.8505274466673532
development,transition_5_6,r3__full_grid_prediction_features,100,21.529184579849243,0.18112708902917807,0.8532874287168184
development,transition_5_6,perceptual_deepjscc,100,24.90954168955485,0.184519981375585,0.6122699333975713
development,transition_5_6,wetok_8PSK_FEC,100,9.52263221502304,0.7051804306109746,0.017287447141328207
development,transition_5_6,legacy_Deep_nominal_condition,100,17.45499317963918,0.522014441434294,0.27813352273932346
development,high_13_19,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,high_13_19,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,high_13_19,raw_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,high_13_19,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,high_13_19,arithmetic_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,raw_reliability,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,raw_quality,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,raw_goodput,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,arithmetic_reliability,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,arithmetic_quality,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,arithmetic_goodput,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,old_raw_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,high_13_19,r2__full_grid_innovation,100,23.789813604354862,0.10963747410879782,0.9420346785585088
development,high_13_19,r3__full_grid_prediction_features,100,23.883679707845054,0.10585987692233177,0.9432331960399946
development,high_13_19,perceptual_deepjscc,100,26.67525973637899,0.13450951180110374,0.7589587319145599
development,high_13_19,wetok_8PSK_FEC,100,23.733051137924193,0.08692402723866205,0.9543169011672338
development,high_13_19,legacy_Deep_nominal_condition,100,26.67525973637899,0.13450951180110374,0.7589587319145599
development,all_snrs,raw_m7,100,18.089951192310878,0.2342136791188802,0.8497271207968394
development,all_snrs,raw_m8,100,19.246568109875636,0.19333517570403363,0.8705261650468624
development,all_snrs,raw_m9,100,17.611244229816254,0.3035694754780048,0.6519870468331057
development,all_snrs,arithmetic_m7,100,18.100285011927284,0.23390163915143128,0.8496558104952178
development,all_snrs,arithmetic_m8,100,19.019427720024474,0.20935837718259012,0.8530308120378427
development,all_snrs,arithmetic_m9,100,18.810940781547906,0.2494179889187217,0.794681476237962
development,all_snrs,raw_reliability,100,19.8960860483987,0.17386199547953557,0.893619368360156
development,all_snrs,raw_quality,100,20.217209607987176,0.16492732232702634,0.9000782318342299
development,all_snrs,raw_goodput,100,20.10723785899934,0.16819480394589756,0.8982006197032475
development,all_snrs,arithmetic_reliability,100,20.324014570145376,0.16258454877883197,0.9027493961794035
development,all_snrs,arithmetic_quality,100,20.324014570145376,0.16258454877883197,0.9027493961794035
development,all_snrs,arithmetic_goodput,100,20.344255945114863,0.16463185468866,0.9002665414696648
development,all_snrs,old_raw_adaptive,100,20.217209607987176,0.16492732232702634,0.9000782318342299
development,all_snrs,r2__full_grid_innovation,100,21.97981979370117,0.17818897792847735,0.8364000498822758
development,all_snrs,r3__full_grid_prediction_features,100,21.923352572577343,0.17573836775718343,0.837942529420058
development,all_snrs,perceptual_deepjscc,100,25.186374325525193,0.17913315463988558,0.6251052865252963
development,all_snrs,wetok_8PSK_FEC,100,13.583988618850706,0.5285786188881668,0.2838861249453788
development,all_snrs,legacy_Deep_nominal_condition,100,23.05650332269215,0.27556014322808814,0.5296377406229398
