complex_uses,family,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,dino_report_only,actual_payload_bits_mean,header_failure_probability,no_accepted_body_probability,body_CRC_failure_given_header_accept,success_lpips_mean,failure_lpips_mean,failure_contribution_to_mean_lpips,failure_frames
4498,arithmetic,19.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,raw,1.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,raw,1.0,8,300,100,3060,0.41333333333333333,0.5866666666666667,1264.8,19.532039143244425,0.1773193105061849,0.8765622677405676,3060.0,0.0,0.5866666666666667,0.5866666666666667,0.17025138654055133,0.1822989842092449,0.10694873740275701,176
4498,raw,1.0,9,300,100,5088,0.0,1.0,0.0,14.270371500651041,0.4279263704021772,0.4233093167236075,5088.0,0.0,1.0,1.0,,0.4279263704021772,0.4279263704021772,300
4498,raw,4.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,raw,4.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,raw,4.0,9,300,100,5088,0.7366666666666667,0.2633333333333333,3748.1600000000003,21.168504931132,0.13309218504776557,0.9125448362032572,5088.0,0.0,0.2633333333333333,0.2633333333333333,0.13128877476666848,0.1381371682391891,0.036376120969653127,79
4498,raw,7.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,raw,7.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,raw,7.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,5088.0,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,raw,13.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,raw,13.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,raw,13.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,5088.0,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,raw,19.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,raw,19.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,raw,19.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,5088.0,0.0,0.0,0.0,0.13148250441998244,,0.0,0
