source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,1,4103,1,1,6,7,0,0.02197802197802198,0.0055378638207912445,1.3984187841415405
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,4,4101,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,4,4102,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,4,4103,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,7,4101,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,7,4102,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,7,4103,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,13,4101,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,13,4102,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,13,4103,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,19,4101,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,19,4102,1,1,6,7,1,0.0,0.0,1.3692989349365234
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,19,4103,1,1,6,7,1,0.0,0.0,1.3692989349365234
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,1,4101,1,1,6,8,0,0.16483516483516483,0.04841545596718788,1.3070719242095947
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,1,4102,1,1,6,8,0,0.04395604395604396,0.03511481732130051,1.2165676355361938
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,1,4103,1,1,6,8,0,0.13186813186813187,0.02506258338689804,1.2067515850067139
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,4,4101,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,4,4102,1,1,6,8,1,0.0,0.0,1.1827479600906372
8,n01514859/ILSVRC2012_val_00006195_n01514859,6,4084,1200,2816,4,4103,1,1,6,8,1,0.0,0.0,1.1827479600906372
