population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,12.24128532409668,0.6038824319839478
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,13.739319801330566,0.5654407143592834
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,10.375959396362305,0.7396984696388245
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,28.57706069946289,0.06310391426086426
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,28.39165496826172,0.06828373670578003
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,4.0,4103,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,28.550647735595703,0.06320059299468994
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,12.62482738494873,0.6063607931137085
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,11.885913848876953,0.5359456539154053
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,11.275253295898438,0.5624776482582092
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,20.586261749267578,0.16628623008728027
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,21.011037826538086,0.1589127480983734
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,21.07623291015625,0.15531663596630096
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,21.10919189453125,0.15719223022460938
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,10.383901596069336,0.6066681742668152
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,10.909031867980957,0.5433917045593262
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,11.00991439819336,0.6043105125427246
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,4.0,4101,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,4.0,4102,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,18.215734481811523,0.15104448795318604
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,7,n01514668/ILSVRC2012_val_00016052_n01514668,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,19.073740005493164,0.13100333511829376
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,10.875125885009766,0.6625640392303467
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,11.824694633483887,0.5792670249938965
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,10.367735862731934,0.6169900894165039
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,19.643489837646484,0.13462072610855103
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,19.460250854492188,0.14536944031715393
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,19.6086483001709,0.13743320107460022
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
calibration,8,n01514859/ILSVRC2012_val_00006195_n01514859,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,19.64674186706543,0.13266047835350037
