method,selected_endpoint,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2003,4084,8168,24.07883071899414,0.16025321185588837,0.8999187350273132
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2001,4084,8168,24.122482299804688,0.1546255648136139,0.9157485961914062
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2002,4084,8168,24.113433837890625,0.15293832123279572,0.9170544147491455
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2003,4084,8168,24.116296768188477,0.15639439225196838,0.906869649887085
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2001,4084,8168,15.880660057067871,0.25950199365615845,0.7778115272521973
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2002,4084,8168,15.80394172668457,0.26270896196365356,0.7977757453918457
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2003,4084,8168,15.761709213256836,0.2642213702201843,0.7953677177429199
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2001,4084,8168,16.33786392211914,0.22076398134231567,0.7635496258735657
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2002,4084,8168,16.34827423095703,0.21554891765117645,0.7822879552841187
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2003,4084,8168,16.344526290893555,0.21703782677650452,0.7502896785736084
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2001,4084,8168,16.47104835510254,0.2138543725013733,0.7642441987991333
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2002,4084,8168,16.486251831054688,0.21062377095222473,0.7888617515563965
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2003,4084,8168,16.468238830566406,0.20863528549671173,0.7604993581771851
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2001,4084,8168,16.604158401489258,0.20645642280578613,0.7890844941139221
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2002,4084,8168,16.618648529052734,0.2059253752231598,0.7989438772201538
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2003,4084,8168,16.599637985229492,0.20185330510139465,0.7849555015563965
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2001,4084,8168,16.64861297607422,0.2031947821378708,0.8040304183959961
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2002,4084,8168,16.65633773803711,0.20230665802955627,0.8086304068565369
calibration_frozen_resource_lookup,m8_plus_latent_1024,7,n01775062/ILSVRC2012_val_00036589_n01775062,19.0,2003,4084,8168,16.64429473876953,0.2003459334373474,0.8017740249633789
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2001,4084,8168,16.17894172668457,0.21666410565376282,0.910062849521637
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,8,n01843383/ILSVRC2012_val_00005901_n01843383,1.0,2002,4084,8168,16.13258171081543,0.21124477684497833,0.8525793552398682
