method,selected_mode,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
raw_adaptive_m789_Dc,8,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,17.272632598876953,0.21644963324069977,0.8559737801551819
arithmetic_adaptive_m789_Dc,8,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,17.76373291015625,0.20515426993370056,0.8584778308868408
raw_adaptive_m789_Dc,8,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,17.76373291015625,0.20515426993370056,0.8584778308868408
arithmetic_adaptive_m789_Dc,8,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,17.76373291015625,0.20515426993370056,0.8584778308868408
raw_adaptive_m789_Dc,8,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,17.692283630371094,0.20931941270828247,0.8587181568145752
arithmetic_adaptive_m789_Dc,8,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,14.819953918457031,0.4238378405570984,0.23584352433681488
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,18.871597290039062,0.17448104918003082,0.8584201335906982
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,18.781742095947266,0.1697016954421997,0.8597965836524963
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
arithmetic_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
raw_adaptive_m789_Dc,9,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,18.94675636291504,0.16369718313217163,0.8722684979438782
