method,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2003,4084,8168,24.29559326171875,0.13571761548519135,0.8370230197906494
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2001,4084,8168,24.39715576171875,0.12784725427627563,0.8597885370254517
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2002,4084,8168,24.380844116210938,0.12577861547470093,0.8576966524124146
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2003,4084,8168,24.376049041748047,0.12875689566135406,0.8500736951828003
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2001,4084,8168,24.42824935913086,0.1265295296907425,0.8584743142127991
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2002,4084,8168,24.41179084777832,0.12595893442630768,0.8577537536621094
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2003,4084,8168,24.407575607299805,0.12651768326759338,0.8525404930114746
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2001,4084,8168,22.954944610595703,0.20232364535331726,0.8637195825576782
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2002,4084,8168,22.962867736816406,0.20191572606563568,0.8582758903503418
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2003,4084,8168,23.152780532836914,0.1980040967464447,0.9014074802398682
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2001,4084,8168,23.476369857788086,0.17987310886383057,0.8296441435813904
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2002,4084,8168,23.561307907104492,0.18766188621520996,0.880521297454834
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2003,4084,8168,23.291501998901367,0.19239994883537292,0.849062442779541
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2001,4084,8168,23.608489990234375,0.17659373581409454,0.8440992832183838
m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2002,4084,8168,23.684968948364258,0.18410739302635193,0.8871605396270752
