snr_db,method,control,metric,delta,ci_low,ci_high
4.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-6.162313563028972,-6.501487272580464,-5.8222732807795206
4.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,0.11838311951607464,0.10870774455958357,0.12782054643612353
4.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.18997235412398975,0.16573198173691828,0.21391093981886902
5.0,prefix_next_scale,prefix_parallel,psnr_db,0.7185434118906656,0.5238706703186035,0.9391069793701169
5.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.02392912894487381,-0.03315646246386071,-0.014638395267228292
5.0,prefix_next_scale,prefix_parallel,dino_cosine,0.03509048859278361,0.018130538399020835,0.052511034317314624
5.0,prefix_parallel,digital_m8,psnr_db,-1.9087866528828936,-2.2706507634321844,-1.5823341796398165
5.0,prefix_parallel,digital_m8,lpips_alex,0.14960145361100635,0.13919962519950546,0.16071432469816258
5.0,prefix_parallel,digital_m8,dino_cosine,-0.15664854625860852,-0.17710547672212124,-0.13729059885690612
5.0,prefix_parallel,digital_adaptive,psnr_db,-1.9087866528828936,-2.2706507634321844,-1.5823341796398165
5.0,prefix_parallel,digital_adaptive,lpips_alex,0.14960145361100635,0.13919962519950546,0.16071432469816258
5.0,prefix_parallel,digital_adaptive,dino_cosine,-0.15664854625860852,-0.17710547672212124,-0.13729059885690612
5.0,prefix_parallel,perceptual_deepjscc,psnr_db,6.51674371401469,6.093437285661698,6.967019323269526
5.0,prefix_parallel,perceptual_deepjscc,lpips_alex,-0.41004290016988904,-0.42634974526489766,-0.39349861877659953
5.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.678001445758467,0.6519246905895415,0.7030241294671626
5.0,prefix_next_scale,digital_m8,psnr_db,-1.1902432409922281,-1.4049925594329835,-0.9760358920097352
5.0,prefix_next_scale,digital_m8,lpips_alex,0.1256723246661325,0.1167067581031782,0.13493821840935077
5.0,prefix_next_scale,digital_m8,dino_cosine,-0.12155805766582489,-0.1371025047500928,-0.1061954714159171
5.0,prefix_next_scale,digital_adaptive,psnr_db,-1.1902432409922281,-1.4049925594329835,-0.9760358920097352
5.0,prefix_next_scale,digital_adaptive,lpips_alex,0.1256723246661325,0.1167067581031782,0.13493821840935077
5.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.12155805766582489,-0.1371025047500928,-0.1061954714159171
5.0,prefix_next_scale,perceptual_deepjscc,psnr_db,7.235287125905355,6.741156334241231,7.76525025375684
5.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,-0.4339720291147629,-0.450927809951206,-0.41772084290348005
5.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.7130919343512505,0.6897716874569887,0.7361200312479245
6.0,prefix_next_scale,prefix_parallel,psnr_db,0.7464581553141275,0.5259735692342122,1.003455450932185
6.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.02285627249628306,-0.032550532407127325,-0.013412884478457275
6.0,prefix_next_scale,prefix_parallel,dino_cosine,0.032522764801979076,0.016845149002969264,0.048611550244192274
6.0,prefix_parallel,digital_m8,psnr_db,-1.713827927907308,-2.0765295196374263,-1.389578766187032
6.0,prefix_parallel,digital_m8,lpips_alex,0.13518547325705488,0.12458958193271731,0.1465411092553598
6.0,prefix_parallel,digital_m8,dino_cosine,-0.13317422578732172,-0.1514450711508592,-0.1157474456454317
6.0,prefix_parallel,digital_adaptive,psnr_db,-2.483630208969116,-2.853474234660467,-2.1504302395184838
6.0,prefix_parallel,digital_adaptive,lpips_alex,0.15805784297486147,0.14740907017110538,0.16919940671262637
6.0,prefix_parallel,digital_adaptive,dino_cosine,-0.14631751249233882,-0.16553864258776108,-0.1283493069584171
6.0,prefix_parallel,perceptual_deepjscc,psnr_db,-5.66609704653422,-6.00740458838145,-5.334838030894598
6.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.005083598159253597,-0.007703840683214367,0.017796949864054716
6.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.2553680220494668,0.22559818036605916,0.2847531546422591
6.0,prefix_next_scale,digital_m8,psnr_db,-0.9673697725931804,-1.1559482253392537,-0.7747444241046904
6.0,prefix_next_scale,digital_m8,lpips_alex,0.11232920076077182,0.10341876819636675,0.12159896077774465
