population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips,dino_cosine
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,4.0,2002,3060,3060,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,4.0,2002,5088,5088,1,0,0,1,21.492416381835938,0.11901919543743134,0.8069690465927124
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,4.0,2002,1860,1513,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,4.0,2002,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,4.0,2002,5088,4116,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,4.0,2003,1860,1860,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,4.0,2003,3060,3060,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,4.0,2003,5088,5088,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,4.0,2003,1860,1513,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,4.0,2003,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,4.0,2003,5088,4116,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,7.0,2001,1860,1860,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,7.0,2001,3060,3060,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,7.0,2001,5088,5088,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,7.0,2001,1860,1513,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,7.0,2001,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,7.0,2001,5088,4116,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,7.0,2002,1860,1860,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,7.0,2002,3060,3060,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,7.0,2002,5088,5088,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,7.0,2002,1860,1513,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,7.0,2002,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,7.0,2002,5088,4116,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231227993965149
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,7.0,2003,1860,1860,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422005295753479
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,7.0,2003,3060,3060,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305282354354858
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,7.0,2003,5088,5088,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231233358383179
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,7.0,2003,1860,1513,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422005295753479
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,7.0,2003,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305282354354858
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,7.0,2003,5088,4116,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231233358383179
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,13.0,2001,1860,1860,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422005295753479
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,13.0,2001,3060,3060,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305282354354858
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,13.0,2001,5088,5088,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231233358383179
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,13.0,2001,1860,1513,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422005295753479
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,13.0,2001,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305282354354858
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,13.0,2001,5088,4116,1,1,1,1,21.61578941345215,0.11658566445112228,0.8231233358383179
