method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,mean_energy_per_use,constraint,table_sha256
token-efficiency-digital-v1/raw/16QAM/N2048/m9,1,2048,4093.28,3940.8,4008.0,4179.280000000001,4246.4,1.998671875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m9,4,2048,4093.28,3940.8,4008.0,4179.280000000001,4246.4,1.998671875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m9,7,2048,4093.28,3940.8,4008.0,4179.280000000001,4246.4,1.998671875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m9,13,2048,4093.28,3940.8,4008.0,4179.280000000001,4246.4,1.998671875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m9,19,2048,4093.28,3940.8,4008.0,4179.280000000001,4246.4,1.998671875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m10,1,3060,6117.584,5928.0,6014.400000000001,6220.799999999999,6304.0,1.9992104575163399,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m10,4,3060,6117.584,5928.0,6014.400000000001,6220.799999999999,6304.0,1.9992104575163399,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m10,7,3060,6117.584,5928.0,6014.400000000001,6220.799999999999,6304.0,1.9992104575163399,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m10,13,3060,6117.584,5928.0,6014.400000000001,6220.799999999999,6304.0,1.9992104575163399,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N3060/m10,19,3060,6117.584,5928.0,6014.400000000001,6220.799999999999,6304.0,1.9992104575163399,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
